Country,Station,Year,Number_Rain_day
Niger,TILLABERY,1983,27
Niger,TILLABERY,1984,22
Niger,TILLABERY,1985,20
Niger,TILLABERY,1986,29
Niger,TILLABERY,1987,26
Niger,TILLABERY,1988,27
Niger,TILLABERY,1989,23
Niger,TILLABERY,1990,19
Niger,TILLABERY,1991,31
Niger,TILLABERY,1992,28
Niger,TILLABERY,1993,27
Niger,TILLABERY,1994,45
Niger,TILLABERY,1995,34
Niger,TILLABERY,1996,32
Niger,TILLABERY,1997,35
Niger,TILLABERY,1998,41
Niger,TILLABERY,1999,38
Niger,TILLABERY,2000,29
Niger,TILLABERY,2001,35
Niger,TILLABERY,2002,41
Niger,TILLABERY,2003,44
Niger,TILLABERY,2004,37
Niger,TILLABERY,2005,50
Niger,TILLABERY,2006,28
Niger,TILLABERY,2007,41
Niger,TILLABERY,2008,40
Niger,TILLABERY,2009,36
Niger,TILLABERY,2010,40
Niger,TILLABERY,2011,28
Niger,TILLABERY,2012,44
Niger,TILLABERY,2013,43
Niger,TILLABERY,2014,34
Niger,TILLABERY,2015,41
Niger,TILLABERY,2016,47
Niger,TILLABERY,2017,38
Niger,TILLABERY,2018,44
Niger,TILLABERY,2019,44
Niger,TILLABERY,2020,51
Niger,TILLABERY,2021,45
Niger,TILLABERY,2022,3
