Country,Station,Year,Number_Rain_day
Niger,ZINDER,1983,25
Niger,ZINDER,1984,19
Niger,ZINDER,1985,28
Niger,ZINDER,1986,36
Niger,ZINDER,1987,22
Niger,ZINDER,1988,45
Niger,ZINDER,1989,25
Niger,ZINDER,1990,31
Niger,ZINDER,1991,38
Niger,ZINDER,1992,40
Niger,ZINDER,1993,34
Niger,ZINDER,1994,35
Niger,ZINDER,1995,32
Niger,ZINDER,1996,29
Niger,ZINDER,1997,31
Niger,ZINDER,1998,36
Niger,ZINDER,1999,37
Niger,ZINDER,2000,33
Niger,ZINDER,2001,52
Niger,ZINDER,2002,43
Niger,ZINDER,2003,50
Niger,ZINDER,2004,31
Niger,ZINDER,2005,36
Niger,ZINDER,2006,33
Niger,ZINDER,2007,34
Niger,ZINDER,2008,38
Niger,ZINDER,2009,46
Niger,ZINDER,2010,42
Niger,ZINDER,2011,41
Niger,ZINDER,2012,46
Niger,ZINDER,2013,37
Niger,ZINDER,2014,35
Niger,ZINDER,2015,41
Niger,ZINDER,2016,32
Niger,ZINDER,2017,36
Niger,ZINDER,2018,48
Niger,ZINDER,2019,45
Niger,ZINDER,2020,52
Niger,ZINDER,2021,48
Niger,ZINDER,2022,3
