Station,Country,Year,Number_Rain_day,Mean,Anomaly,AnoPosit,AnoNeg
MAGARIA,Niger,1983,32,46.1282051282051,-14.1282051282051,0,-14.1282051282051
MAGARIA,Niger,1984,30,46.1282051282051,-16.1282051282051,0,-16.1282051282051
MAGARIA,Niger,1985,40,46.1282051282051,-6.12820512820513,0,-6.12820512820513
MAGARIA,Niger,1986,46,46.1282051282051,-0.128205128205131,0,-0.128205128205131
MAGARIA,Niger,1987,38,46.1282051282051,-8.12820512820513,0,-8.12820512820513
MAGARIA,Niger,1988,52,46.1282051282051,5.87179487179487,5.87179487179487,0
MAGARIA,Niger,1989,41,46.1282051282051,-5.12820512820513,0,-5.12820512820513
MAGARIA,Niger,1990,31,46.1282051282051,-15.1282051282051,0,-15.1282051282051
MAGARIA,Niger,1991,43,46.1282051282051,-3.12820512820513,0,-3.12820512820513
MAGARIA,Niger,1992,50,46.1282051282051,3.87179487179487,3.87179487179487,0
MAGARIA,Niger,1993,46,46.1282051282051,-0.128205128205131,0,-0.128205128205131
MAGARIA,Niger,1994,55,46.1282051282051,8.87179487179487,8.87179487179487,0
MAGARIA,Niger,1995,45,46.1282051282051,-1.12820512820513,0,-1.12820512820513
MAGARIA,Niger,1996,38,46.1282051282051,-8.12820512820513,0,-8.12820512820513
MAGARIA,Niger,1997,61,46.1282051282051,14.8717948717949,14.8717948717949,0
MAGARIA,Niger,1998,48,46.1282051282051,1.87179487179487,1.87179487179487,0
MAGARIA,Niger,1999,39,46.1282051282051,-7.12820512820513,0,-7.12820512820513
MAGARIA,Niger,2000,42,46.1282051282051,-4.12820512820513,0,-4.12820512820513
MAGARIA,Niger,2001,63,46.1282051282051,16.8717948717949,16.8717948717949,0
MAGARIA,Niger,2002,47,46.1282051282051,0.871794871794869,0.871794871794869,0
MAGARIA,Niger,2003,52,46.1282051282051,5.87179487179487,5.87179487179487,0
MAGARIA,Niger,2004,43,46.1282051282051,-3.12820512820513,0,-3.12820512820513
MAGARIA,Niger,2005,46,46.1282051282051,-0.128205128205131,0,-0.128205128205131
MAGARIA,Niger,2006,50,46.1282051282051,3.87179487179487,3.87179487179487,0
MAGARIA,Niger,2007,43,46.1282051282051,-3.12820512820513,0,-3.12820512820513
MAGARIA,Niger,2008,45,46.1282051282051,-1.12820512820513,0,-1.12820512820513
MAGARIA,Niger,2009,45,46.1282051282051,-1.12820512820513,0,-1.12820512820513
MAGARIA,Niger,2010,52,46.1282051282051,5.87179487179487,5.87179487179487,0
MAGARIA,Niger,2011,44,46.1282051282051,-2.12820512820513,0,-2.12820512820513
MAGARIA,Niger,2012,58,46.1282051282051,11.8717948717949,11.8717948717949,0
MAGARIA,Niger,2013,46,46.1282051282051,-0.128205128205131,0,-0.128205128205131
MAGARIA,Niger,2014,44,46.1282051282051,-2.12820512820513,0,-2.12820512820513
MAGARIA,Niger,2015,38,46.1282051282051,-8.12820512820513,0,-8.12820512820513
MAGARIA,Niger,2016,44,46.1282051282051,-2.12820512820513,0,-2.12820512820513
MAGARIA,Niger,2017,42,46.1282051282051,-4.12820512820513,0,-4.12820512820513
MAGARIA,Niger,2018,51,46.1282051282051,4.87179487179487,4.87179487179487,0
MAGARIA,Niger,2019,52,46.1282051282051,5.87179487179487,5.87179487179487,0
MAGARIA,Niger,2020,64,46.1282051282051,17.8717948717949,17.8717948717949,0
MAGARIA,Niger,2021,53,46.1282051282051,6.87179487179487,6.87179487179487,0
