Station,Country,Year,Number_Rain_day,Mean,Anomaly,AnoPosit,AnoNeg
MAINE-SOROA,Niger,1983,23,30.5384615384615,-7.53846153846154,0,-7.53846153846154
MAINE-SOROA,Niger,1984,25,30.5384615384615,-5.53846153846154,0,-5.53846153846154
MAINE-SOROA,Niger,1985,25,30.5384615384615,-5.53846153846154,0,-5.53846153846154
MAINE-SOROA,Niger,1986,23,30.5384615384615,-7.53846153846154,0,-7.53846153846154
MAINE-SOROA,Niger,1987,20,30.5384615384615,-10.5384615384615,0,-10.5384615384615
MAINE-SOROA,Niger,1988,39,30.5384615384615,8.46153846153846,8.46153846153846,0
MAINE-SOROA,Niger,1989,20,30.5384615384615,-10.5384615384615,0,-10.5384615384615
MAINE-SOROA,Niger,1990,24,30.5384615384615,-6.53846153846154,0,-6.53846153846154
MAINE-SOROA,Niger,1991,32,30.5384615384615,1.46153846153846,1.46153846153846,0
MAINE-SOROA,Niger,1992,30,30.5384615384615,-0.53846153846154,0,-0.53846153846154
MAINE-SOROA,Niger,1993,19,30.5384615384615,-11.5384615384615,0,-11.5384615384615
MAINE-SOROA,Niger,1994,38,30.5384615384615,7.46153846153846,7.46153846153846,0
MAINE-SOROA,Niger,1995,27,30.5384615384615,-3.53846153846154,0,-3.53846153846154
MAINE-SOROA,Niger,1996,36,30.5384615384615,5.46153846153846,5.46153846153846,0
MAINE-SOROA,Niger,1997,34,30.5384615384615,3.46153846153846,3.46153846153846,0
MAINE-SOROA,Niger,1998,25,30.5384615384615,-5.53846153846154,0,-5.53846153846154
MAINE-SOROA,Niger,1999,36,30.5384615384615,5.46153846153846,5.46153846153846,0
MAINE-SOROA,Niger,2000,28,30.5384615384615,-2.53846153846154,0,-2.53846153846154
MAINE-SOROA,Niger,2001,39,30.5384615384615,8.46153846153846,8.46153846153846,0
MAINE-SOROA,Niger,2002,35,30.5384615384615,4.46153846153846,4.46153846153846,0
MAINE-SOROA,Niger,2003,36,30.5384615384615,5.46153846153846,5.46153846153846,0
MAINE-SOROA,Niger,2004,22,30.5384615384615,-8.53846153846154,0,-8.53846153846154
MAINE-SOROA,Niger,2005,27,30.5384615384615,-3.53846153846154,0,-3.53846153846154
MAINE-SOROA,Niger,2006,31,30.5384615384615,0.46153846153846,0.46153846153846,0
MAINE-SOROA,Niger,2007,27,30.5384615384615,-3.53846153846154,0,-3.53846153846154
MAINE-SOROA,Niger,2008,29,30.5384615384615,-1.53846153846154,0,-1.53846153846154
MAINE-SOROA,Niger,2009,31,30.5384615384615,0.46153846153846,0.46153846153846,0
MAINE-SOROA,Niger,2010,36,30.5384615384615,5.46153846153846,5.46153846153846,0
MAINE-SOROA,Niger,2011,32,30.5384615384615,1.46153846153846,1.46153846153846,0
MAINE-SOROA,Niger,2012,39,30.5384615384615,8.46153846153846,8.46153846153846,0
MAINE-SOROA,Niger,2013,28,30.5384615384615,-2.53846153846154,0,-2.53846153846154
MAINE-SOROA,Niger,2014,27,30.5384615384615,-3.53846153846154,0,-3.53846153846154
MAINE-SOROA,Niger,2015,25,30.5384615384615,-5.53846153846154,0,-5.53846153846154
MAINE-SOROA,Niger,2016,35,30.5384615384615,4.46153846153846,4.46153846153846,0
MAINE-SOROA,Niger,2017,24,30.5384615384615,-6.53846153846154,0,-6.53846153846154
MAINE-SOROA,Niger,2018,37,30.5384615384615,6.46153846153846,6.46153846153846,0
MAINE-SOROA,Niger,2019,39,30.5384615384615,8.46153846153846,8.46153846153846,0
MAINE-SOROA,Niger,2020,48,30.5384615384615,17.4615384615385,17.4615384615385,0
MAINE-SOROA,Niger,2021,40,30.5384615384615,9.46153846153846,9.46153846153846,0
