Station,Country,Year,Number_Rain_day,Mean,Anomaly,AnoPosit,AnoNeg
TAHOUA,Niger,1983,33,46,-13,0,-13
TAHOUA,Niger,1984,24,46,-22,0,-22
TAHOUA,Niger,1985,33,46,-13,0,-13
TAHOUA,Niger,1986,46,46,0,0,0
TAHOUA,Niger,1987,43,46,-3,0,-3
TAHOUA,Niger,1988,48,46,2,2,0
TAHOUA,Niger,1989,44,46,-2,0,-2
TAHOUA,Niger,1990,36,46,-10,0,-10
TAHOUA,Niger,1991,61,46,15,15,0
TAHOUA,Niger,1992,51,46,5,5,0
TAHOUA,Niger,1993,41,46,-5,0,-5
TAHOUA,Niger,1994,56,46,10,10,0
TAHOUA,Niger,1995,50,46,4,4,0
TAHOUA,Niger,1996,51,46,5,5,0
TAHOUA,Niger,1997,44,46,-2,0,-2
TAHOUA,Niger,1998,37,46,-9,0,-9
TAHOUA,Niger,1999,50,46,4,4,0
TAHOUA,Niger,2000,49,46,3,3,0
TAHOUA,Niger,2001,38,46,-8,0,-8
TAHOUA,Niger,2002,53,46,7,7,0
TAHOUA,Niger,2003,52,46,6,6,0
TAHOUA,Niger,2004,43,46,-3,0,-3
TAHOUA,Niger,2005,40,46,-6,0,-6
TAHOUA,Niger,2006,45,46,-1,0,-1
TAHOUA,Niger,2007,44,46,-2,0,-2
TAHOUA,Niger,2008,48,46,2,2,0
TAHOUA,Niger,2009,46,46,0,0,0
TAHOUA,Niger,2010,52,46,6,6,0
TAHOUA,Niger,2011,42,46,-4,0,-4
TAHOUA,Niger,2012,44,46,-2,0,-2
TAHOUA,Niger,2013,47,46,1,1,0
TAHOUA,Niger,2014,42,46,-4,0,-4
TAHOUA,Niger,2015,54,46,8,8,0
TAHOUA,Niger,2016,59,46,13,13,0
TAHOUA,Niger,2017,42,46,-4,0,-4
TAHOUA,Niger,2018,50,46,4,4,0
TAHOUA,Niger,2019,52,46,6,6,0
TAHOUA,Niger,2020,56,46,10,10,0
TAHOUA,Niger,2021,48,46,2,2,0
