Station,Country,Year,Total_Precipitation,Mean,Anomaly,AnoPosit,AnoNeg
BIRNI-N_KONNI,Niger,1983,371.650050674,486.470947491485,-114.820896817485,0,-114.820896817485
BIRNI-N_KONNI,Niger,1984,323.5944729515,486.470947491485,-162.876474539985,0,-162.876474539985
BIRNI-N_KONNI,Niger,1985,278.622238327,486.470947491485,-207.848709164485,0,-207.848709164485
BIRNI-N_KONNI,Niger,1986,422.078610839,486.470947491485,-64.3923366524846,0,-64.3923366524846
BIRNI-N_KONNI,Niger,1987,369.640538605,486.470947491485,-116.830408886485,0,-116.830408886485
BIRNI-N_KONNI,Niger,1988,405.8689952456,486.470947491485,-80.6019522458846,0,-80.6019522458846
BIRNI-N_KONNI,Niger,1989,381.928980289,486.470947491485,-104.541967202485,0,-104.541967202485
BIRNI-N_KONNI,Niger,1990,424.6140859189,486.470947491485,-61.8568615725846,0,-61.8568615725846
BIRNI-N_KONNI,Niger,1991,677.8276145798,486.470947491485,191.356667088315,191.356667088315,0
BIRNI-N_KONNI,Niger,1992,428.770584638,486.470947491485,-57.7003628534846,0,-57.7003628534846
BIRNI-N_KONNI,Niger,1993,408.954242258,486.470947491485,-77.5167052334846,0,-77.5167052334846
BIRNI-N_KONNI,Niger,1994,639.232599545,486.470947491485,152.761652053515,152.761652053515,0
BIRNI-N_KONNI,Niger,1995,410.596963971,486.470947491485,-75.8739835204846,0,-75.8739835204846
BIRNI-N_KONNI,Niger,1996,410.952353944,486.470947491485,-75.5185935474846,0,-75.5185935474846
BIRNI-N_KONNI,Niger,1997,388.144633623,486.470947491485,-98.3263138684846,0,-98.3263138684846
BIRNI-N_KONNI,Niger,1998,521.261238404,486.470947491485,34.7902909125154,34.7902909125154,0
BIRNI-N_KONNI,Niger,1999,507.13446231,486.470947491485,20.6635148185154,20.6635148185154,0
BIRNI-N_KONNI,Niger,2000,439.521743101,486.470947491485,-46.9492043904846,0,-46.9492043904846
BIRNI-N_KONNI,Niger,2001,437.969236411,486.470947491485,-48.5017110804846,0,-48.5017110804846
BIRNI-N_KONNI,Niger,2002,517.523976611,486.470947491485,31.0530291195154,31.0530291195154,0
BIRNI-N_KONNI,Niger,2003,497.309212476,486.470947491485,10.8382649845154,10.8382649845154,0
BIRNI-N_KONNI,Niger,2004,415.690896261,486.470947491485,-70.7800512304846,0,-70.7800512304846
BIRNI-N_KONNI,Niger,2005,549.708689488,486.470947491485,63.2377419965154,63.2377419965154,0
BIRNI-N_KONNI,Niger,2006,514.064457578,486.470947491485,27.5935100865154,27.5935100865154,0
BIRNI-N_KONNI,Niger,2007,402.9093543846,486.470947491485,-83.5615931068846,0,-83.5615931068846
BIRNI-N_KONNI,Niger,2008,546.319643622,486.470947491485,59.8486961305154,59.8486961305154,0
BIRNI-N_KONNI,Niger,2009,402.497183372,486.470947491485,-83.9737641194846,0,-83.9737641194846
BIRNI-N_KONNI,Niger,2010,586.366223953,486.470947491485,99.8952764615154,99.8952764615154,0
BIRNI-N_KONNI,Niger,2011,443.435699908,486.470947491485,-43.0352475834846,0,-43.0352475834846
BIRNI-N_KONNI,Niger,2012,518.5639043785,486.470947491485,32.0929568870154,32.0929568870154,0
BIRNI-N_KONNI,Niger,2013,445.848156,486.470947491485,-40.6227914914846,0,-40.6227914914846
BIRNI-N_KONNI,Niger,2014,529.038065361,486.470947491485,42.5671178695154,42.5671178695154,0
BIRNI-N_KONNI,Niger,2015,556.687091847,486.470947491485,70.2161443555155,70.2161443555155,0
BIRNI-N_KONNI,Niger,2016,532.902302715,486.470947491485,46.4313552235154,46.4313552235154,0
BIRNI-N_KONNI,Niger,2017,427.180334514,486.470947491485,-59.2906129774846,0,-59.2906129774846
BIRNI-N_KONNI,Niger,2018,612.187697897,486.470947491485,125.716750405515,125.716750405515,0
BIRNI-N_KONNI,Niger,2019,518.289638767,486.470947491485,31.8186912755155,31.8186912755155,0
BIRNI-N_KONNI,Niger,2020,937.8974164,486.470947491485,451.426468908515,451.426468908515,0
BIRNI-N_KONNI,Niger,2021,769.583361,486.470947491485,283.112413508515,283.112413508515,0
