Station,Country,Year,Total_Precipitation,Mean,Anomaly,AnoPosit,AnoNeg
GAYA,Niger,1983,550.6731636461,741.908424397292,-191.235260751192,0,-191.235260751192
GAYA,Niger,1984,467.0408652161,741.908424397292,-274.867559181192,0,-274.867559181192
GAYA,Niger,1985,659.376193288,741.908424397292,-82.5322311092923,0,-82.5322311092923
GAYA,Niger,1986,792.8294384394,741.908424397292,50.9210140421077,50.9210140421077,0
GAYA,Niger,1987,574.601213665,741.908424397292,-167.307210732292,0,-167.307210732292
GAYA,Niger,1988,633.097485727,741.908424397292,-108.810938670292,0,-108.810938670292
GAYA,Niger,1989,632.5027633739,741.908424397292,-109.405661023392,0,-109.405661023392
GAYA,Niger,1990,581.382862609,741.908424397292,-160.525561788292,0,-160.525561788292
GAYA,Niger,1991,707.2208494109,741.908424397292,-34.6875749863923,0,-34.6875749863923
GAYA,Niger,1992,651.4299742677,741.908424397292,-90.4784501295923,0,-90.4784501295923
GAYA,Niger,1993,490.783799429,741.908424397292,-251.124624968292,0,-251.124624968292
GAYA,Niger,1994,838.0691653313,741.908424397292,96.1607409340078,96.1607409340078,0
GAYA,Niger,1995,540.097538997,741.908424397292,-201.810885400292,0,-201.810885400292
GAYA,Niger,1996,639.433856871,741.908424397292,-102.474567526292,0,-102.474567526292
GAYA,Niger,1997,688.4353357973,741.908424397292,-53.4730885999923,0,-53.4730885999923
GAYA,Niger,1998,781.101480287,741.908424397292,39.1930558897077,39.1930558897077,0
GAYA,Niger,1999,680.107790331,741.908424397292,-61.8006340662922,0,-61.8006340662922
GAYA,Niger,2000,636.4016247294,741.908424397292,-105.506799667892,0,-105.506799667892
GAYA,Niger,2001,724.18619211,741.908424397292,-17.7222322872923,0,-17.7222322872923
GAYA,Niger,2002,805.020947288,741.908424397292,63.1125228907077,63.1125228907077,0
GAYA,Niger,2003,843.865899689,741.908424397292,101.957475291708,101.957475291708,0
GAYA,Niger,2004,674.602307433,741.908424397292,-67.3061169642923,0,-67.3061169642923
GAYA,Niger,2005,751.19939993,741.908424397292,9.29097553270776,9.29097553270776,0
GAYA,Niger,2006,758.174709018,741.908424397292,16.2662846207078,16.2662846207078,0
GAYA,Niger,2007,767.736164697,741.908424397292,25.8277402997078,25.8277402997078,0
GAYA,Niger,2008,683.1735613373,741.908424397292,-58.7348630599922,0,-58.7348630599922
GAYA,Niger,2009,769.963211933,741.908424397292,28.0547875357078,28.0547875357078,0
GAYA,Niger,2010,799.8451434797,741.908424397292,57.9367190824078,57.9367190824078,0
GAYA,Niger,2011,733.774414659,741.908424397292,-8.13400973829232,0,-8.13400973829232
GAYA,Niger,2012,769.5049196827,741.908424397292,27.5964952854077,27.5964952854077,0
GAYA,Niger,2013,678.8936556289,741.908424397292,-63.0147687683923,0,-63.0147687683923
GAYA,Niger,2014,675.6040734229,741.908424397292,-66.3043509743923,0,-66.3043509743923
GAYA,Niger,2015,788.5670915858,741.908424397292,46.6586671885077,46.6586671885077,0
GAYA,Niger,2016,766.836218814,741.908424397292,24.9277944167077,24.9277944167077,0
GAYA,Niger,2017,887.976987521,741.908424397292,146.068563123708,146.068563123708,0
GAYA,Niger,2018,1002.094606494,741.908424397292,260.186182096708,260.186182096708,0
GAYA,Niger,2019,966.607310755,741.908424397292,224.698886357708,224.698886357708,0
GAYA,Niger,2020,1378.6793006,741.908424397292,636.770876202708,636.770876202708,0
GAYA,Niger,2021,1163.537034,741.908424397292,421.628609602708,421.628609602708,0
