Station,Country,Year,Total_Precipitation,Mean,Anomaly,AnoPosit,AnoNeg
MARADI,Niger,1983,280.9279137,500.546214862951,-219.618301162951,0,-219.618301162951
MARADI,Niger,1984,295.725116324,500.546214862951,-204.821098538951,0,-204.821098538951
MARADI,Niger,1985,289.595056804,500.546214862951,-210.951158058951,0,-210.951158058951
MARADI,Niger,1986,441.285099337,500.546214862951,-59.2611155259513,0,-59.2611155259513
MARADI,Niger,1987,382.570174451,500.546214862951,-117.976040411951,0,-117.976040411951
MARADI,Niger,1988,428.386704582,500.546214862951,-72.1595102809513,0,-72.1595102809513
MARADI,Niger,1989,471.511996502,500.546214862951,-29.0342183609513,0,-29.0342183609513
MARADI,Niger,1990,391.886234507,500.546214862951,-108.659980355951,0,-108.659980355951
MARADI,Niger,1991,484.4529866293,500.546214862951,-16.0932282336513,0,-16.0932282336513
MARADI,Niger,1992,490.88042308,500.546214862951,-9.66579178295126,0,-9.66579178295126
MARADI,Niger,1993,327.047211207,500.546214862951,-173.499003655951,0,-173.499003655951
MARADI,Niger,1994,508.7124131935,500.546214862951,8.1661983305487,8.1661983305487,0
MARADI,Niger,1995,364.396062455,500.546214862951,-136.150152407951,0,-136.150152407951
MARADI,Niger,1996,357.050650027,500.546214862951,-143.495564835951,0,-143.495564835951
MARADI,Niger,1997,378.3640489,500.546214862951,-122.182165962951,0,-122.182165962951
MARADI,Niger,1998,544.215998108,500.546214862951,43.6697832450487,43.6697832450487,0
MARADI,Niger,1999,480.708316003,500.546214862951,-19.8378988599513,0,-19.8378988599513
MARADI,Niger,2000,514.540575384,500.546214862951,13.9943605210487,13.9943605210487,0
MARADI,Niger,2001,583.905890318,500.546214862951,83.3596754550488,83.3596754550488,0
MARADI,Niger,2002,572.622679352,500.546214862951,72.0764644890487,72.0764644890487,0
MARADI,Niger,2003,634.1363042172,500.546214862951,133.590089354249,133.590089354249,0
MARADI,Niger,2004,445.1316824,500.546214862951,-55.4145324629513,0,-55.4145324629513
MARADI,Niger,2005,530.640976031,500.546214862951,30.0947611680488,30.0947611680488,0
MARADI,Niger,2006,496.5592657,500.546214862951,-3.98694916295131,0,-3.98694916295131
MARADI,Niger,2007,450.8465322832,500.546214862951,-49.6996825797513,0,-49.6996825797513
MARADI,Niger,2008,488.108724765,500.546214862951,-12.4374900979513,0,-12.4374900979513
MARADI,Niger,2009,442.6168064,500.546214862951,-57.9294084629513,0,-57.9294084629513
MARADI,Niger,2010,608.227785535,500.546214862951,107.681570672049,107.681570672049,0
MARADI,Niger,2011,457.46598661,500.546214862951,-43.0802282529513,0,-43.0802282529513
MARADI,Niger,2012,621.613084623,500.546214862951,121.066869760049,121.066869760049,0
MARADI,Niger,2013,489.967079229,500.546214862951,-10.5791356339513,0,-10.5791356339513
MARADI,Niger,2014,423.004631402,500.546214862951,-77.5415834609512,0,-77.5415834609512
MARADI,Niger,2015,486.684826951,500.546214862951,-13.8613879119513,0,-13.8613879119513
MARADI,Niger,2016,583.254584706,500.546214862951,82.7083698430488,82.7083698430488,0
MARADI,Niger,2017,536.6620420748,500.546214862951,36.1158272118487,36.1158272118487,0
MARADI,Niger,2018,643.5131011466,500.546214862951,142.966886283649,142.966886283649,0
MARADI,Niger,2019,648.1727923175,500.546214862951,147.626577454549,147.626577454549,0
MARADI,Niger,2020,1001.4106256,500.546214862951,500.864410737049,500.864410737049,0
MARADI,Niger,2021,944.4999968,500.546214862951,443.953781937049,443.953781937049,0
