Station,Country,Lon,Lat,Date,Precipitation
TAHOUA,Niger,5.25,14.9,1983-01-01,0
TAHOUA,Niger,5.25,14.9,1983-01-02,0
TAHOUA,Niger,5.25,14.9,1983-01-03,0
TAHOUA,Niger,5.25,14.9,1983-01-04,
TAHOUA,Niger,5.25,14.9,1983-01-05,
TAHOUA,Niger,5.25,14.9,1983-01-06,
TAHOUA,Niger,5.25,14.9,1983-01-07,
TAHOUA,Niger,5.25,14.9,1983-01-08,
TAHOUA,Niger,5.25,14.9,1983-01-09,
TAHOUA,Niger,5.25,14.9,1983-01-10,0
TAHOUA,Niger,5.25,14.9,1983-01-11,0
TAHOUA,Niger,5.25,14.9,1983-01-12,0
TAHOUA,Niger,5.25,14.9,1983-01-13,0
TAHOUA,Niger,5.25,14.9,1983-01-14,0
TAHOUA,Niger,5.25,14.9,1983-01-15,0
TAHOUA,Niger,5.25,14.9,1983-01-16,
TAHOUA,Niger,5.25,14.9,1983-01-17,
TAHOUA,Niger,5.25,14.9,1983-01-18,
TAHOUA,Niger,5.25,14.9,1983-01-19,
TAHOUA,Niger,5.25,14.9,1983-01-20,
TAHOUA,Niger,5.25,14.9,1983-01-21,
TAHOUA,Niger,5.25,14.9,1983-01-22,
TAHOUA,Niger,5.25,14.9,1983-01-23,0
TAHOUA,Niger,5.25,14.9,1983-01-24,
TAHOUA,Niger,5.25,14.9,1983-01-25,
TAHOUA,Niger,5.25,14.9,1983-01-26,
TAHOUA,Niger,5.25,14.9,1983-01-27,
TAHOUA,Niger,5.25,14.9,1983-01-28,
TAHOUA,Niger,5.25,14.9,1983-01-29,0
TAHOUA,Niger,5.25,14.9,1983-01-30,
TAHOUA,Niger,5.25,14.9,1983-01-31,
TAHOUA,Niger,5.25,14.9,1983-02-01,0
TAHOUA,Niger,5.25,14.9,1983-02-02,0
TAHOUA,Niger,5.25,14.9,1983-02-03,0
TAHOUA,Niger,5.25,14.9,1983-02-04,0
TAHOUA,Niger,5.25,14.9,1983-02-05,0
TAHOUA,Niger,5.25,14.9,1983-02-06,0
TAHOUA,Niger,5.25,14.9,1983-02-07,0
TAHOUA,Niger,5.25,14.9,1983-02-08,0
TAHOUA,Niger,5.25,14.9,1983-02-09,0
TAHOUA,Niger,5.25,14.9,1983-02-10,0
TAHOUA,Niger,5.25,14.9,1983-02-11,
TAHOUA,Niger,5.25,14.9,1983-02-12,0
TAHOUA,Niger,5.25,14.9,1983-02-13,0
TAHOUA,Niger,5.25,14.9,1983-02-14,0
TAHOUA,Niger,5.25,14.9,1983-02-15,
TAHOUA,Niger,5.25,14.9,1983-02-16,0
TAHOUA,Niger,5.25,14.9,1983-02-17,0
TAHOUA,Niger,5.25,14.9,1983-02-18,
TAHOUA,Niger,5.25,14.9,1983-02-19,0
TAHOUA,Niger,5.25,14.9,1983-02-20,0
TAHOUA,Niger,5.25,14.9,1983-02-21,0
TAHOUA,Niger,5.25,14.9,1983-02-22,0
TAHOUA,Niger,5.25,14.9,1983-02-23,0
TAHOUA,Niger,5.25,14.9,1983-02-24,0
TAHOUA,Niger,5.25,14.9,1983-02-25,0
TAHOUA,Niger,5.25,14.9,1983-02-26,0
TAHOUA,Niger,5.25,14.9,1983-02-27,0
TAHOUA,Niger,5.25,14.9,1983-02-28,1.637269
TAHOUA,Niger,5.25,14.9,1983-03-01,0
TAHOUA,Niger,5.25,14.9,1983-03-02,1.313287
TAHOUA,Niger,5.25,14.9,1983-03-03,0.1842129
TAHOUA,Niger,5.25,14.9,1983-03-04,0
TAHOUA,Niger,5.25,14.9,1983-03-05,0
TAHOUA,Niger,5.25,14.9,1983-03-06,0
TAHOUA,Niger,5.25,14.9,1983-03-07,0
TAHOUA,Niger,5.25,14.9,1983-03-08,0
TAHOUA,Niger,5.25,14.9,1983-03-09,0
TAHOUA,Niger,5.25,14.9,1983-03-10,0
TAHOUA,Niger,5.25,14.9,1983-03-11,0
TAHOUA,Niger,5.25,14.9,1983-03-12,0
TAHOUA,Niger,5.25,14.9,1983-03-13,0
TAHOUA,Niger,5.25,14.9,1983-03-14,0
TAHOUA,Niger,5.25,14.9,1983-03-15,0
TAHOUA,Niger,5.25,14.9,1983-03-16,0
TAHOUA,Niger,5.25,14.9,1983-03-17,0
TAHOUA,Niger,5.25,14.9,1983-03-18,0
TAHOUA,Niger,5.25,14.9,1983-03-19,0
TAHOUA,Niger,5.25,14.9,1983-03-20,0
TAHOUA,Niger,5.25,14.9,1983-03-21,0
TAHOUA,Niger,5.25,14.9,1983-03-22,0
TAHOUA,Niger,5.25,14.9,1983-03-23,0
TAHOUA,Niger,5.25,14.9,1983-03-24,0
TAHOUA,Niger,5.25,14.9,1983-03-25,0
TAHOUA,Niger,5.25,14.9,1983-03-26,0
TAHOUA,Niger,5.25,14.9,1983-03-27,0
TAHOUA,Niger,5.25,14.9,1983-03-28,0
TAHOUA,Niger,5.25,14.9,1983-03-29,0
TAHOUA,Niger,5.25,14.9,1983-03-30,
TAHOUA,Niger,5.25,14.9,1983-03-31,0
TAHOUA,Niger,5.25,14.9,1983-04-01,0
TAHOUA,Niger,5.25,14.9,1983-04-02,0
TAHOUA,Niger,5.25,14.9,1983-04-03,0
TAHOUA,Niger,5.25,14.9,1983-04-04,0
TAHOUA,Niger,5.25,14.9,1983-04-05,0
TAHOUA,Niger,5.25,14.9,1983-04-06,0
TAHOUA,Niger,5.25,14.9,1983-04-07,0
TAHOUA,Niger,5.25,14.9,1983-04-08,
TAHOUA,Niger,5.25,14.9,1983-04-09,0
TAHOUA,Niger,5.25,14.9,1983-04-10,0
TAHOUA,Niger,5.25,14.9,1983-04-11,0
TAHOUA,Niger,5.25,14.9,1983-04-12,0
TAHOUA,Niger,5.25,14.9,1983-04-13,0
TAHOUA,Niger,5.25,14.9,1983-04-14,0
TAHOUA,Niger,5.25,14.9,1983-04-15,0
TAHOUA,Niger,5.25,14.9,1983-04-16,0.4016512
TAHOUA,Niger,5.25,14.9,1983-04-17,0
TAHOUA,Niger,5.25,14.9,1983-04-18,0
TAHOUA,Niger,5.25,14.9,1983-04-19,0
TAHOUA,Niger,5.25,14.9,1983-04-20,0
TAHOUA,Niger,5.25,14.9,1983-04-21,0
TAHOUA,Niger,5.25,14.9,1983-04-22,0
TAHOUA,Niger,5.25,14.9,1983-04-23,0
TAHOUA,Niger,5.25,14.9,1983-04-24,0
TAHOUA,Niger,5.25,14.9,1983-04-25,
TAHOUA,Niger,5.25,14.9,1983-04-26,
TAHOUA,Niger,5.25,14.9,1983-04-27,
TAHOUA,Niger,5.25,14.9,1983-04-28,
TAHOUA,Niger,5.25,14.9,1983-04-29,
TAHOUA,Niger,5.25,14.9,1983-04-30,
TAHOUA,Niger,5.25,14.9,1983-05-01,0
TAHOUA,Niger,5.25,14.9,1983-05-02,0
TAHOUA,Niger,5.25,14.9,1983-05-03,0
TAHOUA,Niger,5.25,14.9,1983-05-04,0
TAHOUA,Niger,5.25,14.9,1983-05-05,0
TAHOUA,Niger,5.25,14.9,1983-05-06,0
TAHOUA,Niger,5.25,14.9,1983-05-07,0
TAHOUA,Niger,5.25,14.9,1983-05-08,0
TAHOUA,Niger,5.25,14.9,1983-05-09,0
TAHOUA,Niger,5.25,14.9,1983-05-10,0
TAHOUA,Niger,5.25,14.9,1983-05-11,0
TAHOUA,Niger,5.25,14.9,1983-05-12,0
TAHOUA,Niger,5.25,14.9,1983-05-13,0.2270736
TAHOUA,Niger,5.25,14.9,1983-05-14,1.250238
TAHOUA,Niger,5.25,14.9,1983-05-15,0
TAHOUA,Niger,5.25,14.9,1983-05-16,0
TAHOUA,Niger,5.25,14.9,1983-05-17,4.300056
TAHOUA,Niger,5.25,14.9,1983-05-18,0
TAHOUA,Niger,5.25,14.9,1983-05-19,0
TAHOUA,Niger,5.25,14.9,1983-05-20,0
TAHOUA,Niger,5.25,14.9,1983-05-21,0
TAHOUA,Niger,5.25,14.9,1983-05-22,0
TAHOUA,Niger,5.25,14.9,1983-05-23,0
TAHOUA,Niger,5.25,14.9,1983-05-24,0.2566766
TAHOUA,Niger,5.25,14.9,1983-05-25,0.6480883
TAHOUA,Niger,5.25,14.9,1983-05-26,0
