Station,Country,Lon,Lat,Date,Precipitation
TILLABERY,Niger,1.45,14.2,1983-01-01,0
TILLABERY,Niger,1.45,14.2,1983-01-02,0
TILLABERY,Niger,1.45,14.2,1983-01-03,0
TILLABERY,Niger,1.45,14.2,1983-01-04,
TILLABERY,Niger,1.45,14.2,1983-01-05,
TILLABERY,Niger,1.45,14.2,1983-01-06,
TILLABERY,Niger,1.45,14.2,1983-01-07,
TILLABERY,Niger,1.45,14.2,1983-01-08,
TILLABERY,Niger,1.45,14.2,1983-01-09,
TILLABERY,Niger,1.45,14.2,1983-01-10,0
TILLABERY,Niger,1.45,14.2,1983-01-11,0
TILLABERY,Niger,1.45,14.2,1983-01-12,0
TILLABERY,Niger,1.45,14.2,1983-01-13,0
TILLABERY,Niger,1.45,14.2,1983-01-14,0
TILLABERY,Niger,1.45,14.2,1983-01-15,0
TILLABERY,Niger,1.45,14.2,1983-01-16,
TILLABERY,Niger,1.45,14.2,1983-01-17,
TILLABERY,Niger,1.45,14.2,1983-01-18,
TILLABERY,Niger,1.45,14.2,1983-01-19,
TILLABERY,Niger,1.45,14.2,1983-01-20,
TILLABERY,Niger,1.45,14.2,1983-01-21,
TILLABERY,Niger,1.45,14.2,1983-01-22,
TILLABERY,Niger,1.45,14.2,1983-01-23,0
TILLABERY,Niger,1.45,14.2,1983-01-24,
TILLABERY,Niger,1.45,14.2,1983-01-25,
TILLABERY,Niger,1.45,14.2,1983-01-26,
TILLABERY,Niger,1.45,14.2,1983-01-27,
TILLABERY,Niger,1.45,14.2,1983-01-28,
TILLABERY,Niger,1.45,14.2,1983-01-29,0
TILLABERY,Niger,1.45,14.2,1983-01-30,
TILLABERY,Niger,1.45,14.2,1983-01-31,
TILLABERY,Niger,1.45,14.2,1983-02-01,0
TILLABERY,Niger,1.45,14.2,1983-02-02,0
TILLABERY,Niger,1.45,14.2,1983-02-03,0
TILLABERY,Niger,1.45,14.2,1983-02-04,0
TILLABERY,Niger,1.45,14.2,1983-02-05,0
TILLABERY,Niger,1.45,14.2,1983-02-06,0
TILLABERY,Niger,1.45,14.2,1983-02-07,0
TILLABERY,Niger,1.45,14.2,1983-02-08,0
TILLABERY,Niger,1.45,14.2,1983-02-09,0
TILLABERY,Niger,1.45,14.2,1983-02-10,0
TILLABERY,Niger,1.45,14.2,1983-02-11,
TILLABERY,Niger,1.45,14.2,1983-02-12,0
TILLABERY,Niger,1.45,14.2,1983-02-13,0
TILLABERY,Niger,1.45,14.2,1983-02-14,0
TILLABERY,Niger,1.45,14.2,1983-02-15,
TILLABERY,Niger,1.45,14.2,1983-02-16,0
TILLABERY,Niger,1.45,14.2,1983-02-17,0
TILLABERY,Niger,1.45,14.2,1983-02-18,
TILLABERY,Niger,1.45,14.2,1983-02-19,0
TILLABERY,Niger,1.45,14.2,1983-02-20,0
TILLABERY,Niger,1.45,14.2,1983-02-21,0
TILLABERY,Niger,1.45,14.2,1983-02-22,0
TILLABERY,Niger,1.45,14.2,1983-02-23,0
TILLABERY,Niger,1.45,14.2,1983-02-24,0
TILLABERY,Niger,1.45,14.2,1983-02-25,0
TILLABERY,Niger,1.45,14.2,1983-02-26,0
TILLABERY,Niger,1.45,14.2,1983-02-27,0
TILLABERY,Niger,1.45,14.2,1983-02-28,0
TILLABERY,Niger,1.45,14.2,1983-03-01,0
TILLABERY,Niger,1.45,14.2,1983-03-02,0.6701528
TILLABERY,Niger,1.45,14.2,1983-03-03,0
TILLABERY,Niger,1.45,14.2,1983-03-04,0
TILLABERY,Niger,1.45,14.2,1983-03-05,0
TILLABERY,Niger,1.45,14.2,1983-03-06,0
TILLABERY,Niger,1.45,14.2,1983-03-07,0
TILLABERY,Niger,1.45,14.2,1983-03-08,0
TILLABERY,Niger,1.45,14.2,1983-03-09,0
TILLABERY,Niger,1.45,14.2,1983-03-10,0
TILLABERY,Niger,1.45,14.2,1983-03-11,0
TILLABERY,Niger,1.45,14.2,1983-03-12,0
TILLABERY,Niger,1.45,14.2,1983-03-13,0
TILLABERY,Niger,1.45,14.2,1983-03-14,0
TILLABERY,Niger,1.45,14.2,1983-03-15,0
TILLABERY,Niger,1.45,14.2,1983-03-16,0
TILLABERY,Niger,1.45,14.2,1983-03-17,0
TILLABERY,Niger,1.45,14.2,1983-03-18,0
TILLABERY,Niger,1.45,14.2,1983-03-19,0
TILLABERY,Niger,1.45,14.2,1983-03-20,0
TILLABERY,Niger,1.45,14.2,1983-03-21,0.1993305
TILLABERY,Niger,1.45,14.2,1983-03-22,0
TILLABERY,Niger,1.45,14.2,1983-03-23,0
TILLABERY,Niger,1.45,14.2,1983-03-24,0
TILLABERY,Niger,1.45,14.2,1983-03-25,0
TILLABERY,Niger,1.45,14.2,1983-03-26,0
TILLABERY,Niger,1.45,14.2,1983-03-27,0
TILLABERY,Niger,1.45,14.2,1983-03-28,0
TILLABERY,Niger,1.45,14.2,1983-03-29,0
TILLABERY,Niger,1.45,14.2,1983-03-30,
TILLABERY,Niger,1.45,14.2,1983-03-31,0
TILLABERY,Niger,1.45,14.2,1983-04-01,0
TILLABERY,Niger,1.45,14.2,1983-04-02,0
TILLABERY,Niger,1.45,14.2,1983-04-03,0
TILLABERY,Niger,1.45,14.2,1983-04-04,0
TILLABERY,Niger,1.45,14.2,1983-04-05,0
TILLABERY,Niger,1.45,14.2,1983-04-06,0
TILLABERY,Niger,1.45,14.2,1983-04-07,0
TILLABERY,Niger,1.45,14.2,1983-04-08,
TILLABERY,Niger,1.45,14.2,1983-04-09,0
TILLABERY,Niger,1.45,14.2,1983-04-10,0
TILLABERY,Niger,1.45,14.2,1983-04-11,0
TILLABERY,Niger,1.45,14.2,1983-04-12,0
TILLABERY,Niger,1.45,14.2,1983-04-13,0
TILLABERY,Niger,1.45,14.2,1983-04-14,0
TILLABERY,Niger,1.45,14.2,1983-04-15,0
TILLABERY,Niger,1.45,14.2,1983-04-16,0
TILLABERY,Niger,1.45,14.2,1983-04-17,0
TILLABERY,Niger,1.45,14.2,1983-04-18,0
TILLABERY,Niger,1.45,14.2,1983-04-19,0
TILLABERY,Niger,1.45,14.2,1983-04-20,0
TILLABERY,Niger,1.45,14.2,1983-04-21,0
TILLABERY,Niger,1.45,14.2,1983-04-22,0
TILLABERY,Niger,1.45,14.2,1983-04-23,0
TILLABERY,Niger,1.45,14.2,1983-04-24,0
TILLABERY,Niger,1.45,14.2,1983-04-25,
TILLABERY,Niger,1.45,14.2,1983-04-26,
TILLABERY,Niger,1.45,14.2,1983-04-27,
TILLABERY,Niger,1.45,14.2,1983-04-28,
TILLABERY,Niger,1.45,14.2,1983-04-29,
TILLABERY,Niger,1.45,14.2,1983-04-30,
TILLABERY,Niger,1.45,14.2,1983-05-01,0
TILLABERY,Niger,1.45,14.2,1983-05-02,0
TILLABERY,Niger,1.45,14.2,1983-05-03,0
TILLABERY,Niger,1.45,14.2,1983-05-04,0
TILLABERY,Niger,1.45,14.2,1983-05-05,0
TILLABERY,Niger,1.45,14.2,1983-05-06,0
TILLABERY,Niger,1.45,14.2,1983-05-07,0
TILLABERY,Niger,1.45,14.2,1983-05-08,0
TILLABERY,Niger,1.45,14.2,1983-05-09,0
TILLABERY,Niger,1.45,14.2,1983-05-10,0
TILLABERY,Niger,1.45,14.2,1983-05-11,0
TILLABERY,Niger,1.45,14.2,1983-05-12,0
TILLABERY,Niger,1.45,14.2,1983-05-13,0
TILLABERY,Niger,1.45,14.2,1983-05-14,4.894626
TILLABERY,Niger,1.45,14.2,1983-05-15,0
TILLABERY,Niger,1.45,14.2,1983-05-16,1.141948
TILLABERY,Niger,1.45,14.2,1983-05-17,0.7271121
TILLABERY,Niger,1.45,14.2,1983-05-18,0.8793717
TILLABERY,Niger,1.45,14.2,1983-05-19,2.332714
TILLABERY,Niger,1.45,14.2,1983-05-20,0.2433507
TILLABERY,Niger,1.45,14.2,1983-05-21,0.9501971
TILLABERY,Niger,1.45,14.2,1983-05-22,0
TILLABERY,Niger,1.45,14.2,1983-05-23,0
TILLABERY,Niger,1.45,14.2,1983-05-24,1.446003
TILLABERY,Niger,1.45,14.2,1983-05-25,0
TILLABERY,Niger,1.45,14.2,1983-05-26,0.3805686
TILLABERY,Niger,1.45,14.2,1983-05-27,1.936637
TILLABERY,Niger,1.45,14.2,1983-05-28,0
TILLABERY,Niger,1.45,14.2,1983-05-29,0
TILLABERY,Niger,1.45,14.2,1983-05-30,0
TILLABERY,Niger,1.45,14.2,1983-05-31,1.047265
TILLABERY,Niger,1.45,14.2,1983-06-01,1.535229
TILLABERY,Niger,1.45,14.2,1983-06-02,1.133883
TILLABERY,Niger,1.45,14.2,1983-06-03,0
TILLABERY,Niger,1.45,14.2,1983-06-04,0
TILLABERY,Niger,1.45,14.2,1983-06-05,0
TILLABERY,Niger,1.45,14.2,1983-06-06,8.696696
TILLABERY,Niger,1.45,14.2,1983-06-07,0
TILLABERY,Niger,1.45,14.2,1983-06-08,0
TILLABERY,Niger,1.45,14.2,1983-06-09,1.509027
TILLABERY,Niger,1.45,14.2,1983-06-10,0.1683635
TILLABERY,Niger,1.45,14.2,1983-06-11,1.71118
TILLABERY,Niger,1.45,14.2,1983-06-12,0
TILLABERY,Niger,1.45,14.2,1983-06-13,0
TILLABERY,Niger,1.45,14.2,1983-06-14,
TILLABERY,Niger,1.45,14.2,1983-06-15,0.7501977
TILLABERY,Niger,1.45,14.2,1983-06-16,9.311504
TILLABERY,Niger,1.45,14.2,1983-06-17,0
TILLABERY,Niger,1.45,14.2,1983-06-18,
TILLABERY,Niger,1.45,14.2,1983-06-19,1.88826
TILLABERY,Niger,1.45,14.2,1983-06-20,0
TILLABERY,Niger,1.45,14.2,1983-06-21,0
TILLABERY,Niger,1.45,14.2,1983-06-22,4.655833
TILLABERY,Niger,1.45,14.2,1983-06-23,0
TILLABERY,Niger,1.45,14.2,1983-06-24,0
