Country,Station,Year,Extreme_Precipitation
Niger,BIRNI-N_KONNI,1980,42.56126
Niger,BIRNI-N_KONNI,1981,26.75124
Niger,BIRNI-N_KONNI,1982,99.36343
Niger,BIRNI-N_KONNI,1983,35.21505
Niger,BIRNI-N_KONNI,1984,33.33983
Niger,BIRNI-N_KONNI,1985,33.5207
Niger,BIRNI-N_KONNI,1986,46.08652
Niger,BIRNI-N_KONNI,1987,39.47968
Niger,BIRNI-N_KONNI,1988,64.76173
Niger,BIRNI-N_KONNI,1989,31.76488
Niger,BIRNI-N_KONNI,1990,61.37377
Niger,BIRNI-N_KONNI,1991,69.59048
Niger,BIRNI-N_KONNI,1992,67.40315
Niger,BIRNI-N_KONNI,1993,107.0365
Niger,BIRNI-N_KONNI,1994,75.61888
Niger,BIRNI-N_KONNI,1995,35.11578
Niger,BIRNI-N_KONNI,1996,34.58768
Niger,BIRNI-N_KONNI,1997,22.1591
Niger,BIRNI-N_KONNI,1998,42.17369
Niger,BIRNI-N_KONNI,1999,65.7283
Niger,BIRNI-N_KONNI,2000,30.77666
Niger,BIRNI-N_KONNI,2001,33.23869
Niger,BIRNI-N_KONNI,2002,44.55978
Niger,BIRNI-N_KONNI,2003,64.97816
Niger,BIRNI-N_KONNI,2004,34.6656
Niger,BIRNI-N_KONNI,2005,44.5808
Niger,BIRNI-N_KONNI,2006,91.21411
Niger,BIRNI-N_KONNI,2007,39.45953
Niger,BIRNI-N_KONNI,2008,46.24405
Niger,BIRNI-N_KONNI,2009,29.01414
Niger,BIRNI-N_KONNI,2010,33.54718
Niger,BIRNI-N_KONNI,2011,39.93478
Niger,BIRNI-N_KONNI,2012,34.61838
Niger,BIRNI-N_KONNI,2013,42.37302
Niger,BIRNI-N_KONNI,2014,38.19852
Niger,BIRNI-N_KONNI,2015,63.88698
Niger,BIRNI-N_KONNI,2016,32.43415
Niger,BIRNI-N_KONNI,2017,43.89548
Niger,BIRNI-N_KONNI,2018,65.95825
Niger,BIRNI-N_KONNI,2019,31.86009
Niger,BIRNI-N_KONNI,2020,89.56036
Niger,BIRNI-N_KONNI,2021,41.2849
Niger,BIRNI-N_KONNI,2022,5.00177
