Country,Station,Year,Extreme_Precipitation
Niger,DIFFA,1980,34.84401
Niger,DIFFA,1981,24.08508
Niger,DIFFA,1982,23.22818
Niger,DIFFA,1983,27.12193
Niger,DIFFA,1984,23.75539
Niger,DIFFA,1985,25.03926
Niger,DIFFA,1986,26.98754
Niger,DIFFA,1987,23.97166
Niger,DIFFA,1988,32.70234
Niger,DIFFA,1989,53.00134
Niger,DIFFA,1990,14.67554
Niger,DIFFA,1991,31.54458
Niger,DIFFA,1992,31.59019
Niger,DIFFA,1993,24.96975
Niger,DIFFA,1994,53.45324
Niger,DIFFA,1995,51.97807
Niger,DIFFA,1996,37.4619
Niger,DIFFA,1997,59.41909
Niger,DIFFA,1998,47.36088
Niger,DIFFA,1999,60.10378
Niger,DIFFA,2000,22.33806
Niger,DIFFA,2001,19.03122
Niger,DIFFA,2002,17.67959
Niger,DIFFA,2003,31.93077
Niger,DIFFA,2004,31.97318
Niger,DIFFA,2005,36.66474
Niger,DIFFA,2006,35.85696
Niger,DIFFA,2007,38.70773
Niger,DIFFA,2008,36.66032
Niger,DIFFA,2009,27.92231
Niger,DIFFA,2010,26.89254
Niger,DIFFA,2011,48.20259
Niger,DIFFA,2012,46.57229
Niger,DIFFA,2013,26.51333
Niger,DIFFA,2014,33.94626
Niger,DIFFA,2015,44.94304
Niger,DIFFA,2016,38.79798
Niger,DIFFA,2017,26.62173
Niger,DIFFA,2018,31.12076
Niger,DIFFA,2019,37.63865
Niger,DIFFA,2020,54.34072
Niger,DIFFA,2021,63.6344
Niger,DIFFA,2022,0.037051674
