Country,Station,Year,Extreme_Precipitation
Niger,DOSSO,1980,48.00253
Niger,DOSSO,1981,55.84316
Niger,DOSSO,1982,40.45915
Niger,DOSSO,1983,36.4893
Niger,DOSSO,1984,33.58509
Niger,DOSSO,1985,35.13161
Niger,DOSSO,1986,40.05935
Niger,DOSSO,1987,29.52458
Niger,DOSSO,1988,41.66583
Niger,DOSSO,1989,29.88304
Niger,DOSSO,1990,42.83405
Niger,DOSSO,1991,57.76479
Niger,DOSSO,1992,28.84101
Niger,DOSSO,1993,27.66566
Niger,DOSSO,1994,46.93338
Niger,DOSSO,1995,29.19858
Niger,DOSSO,1996,36.67207
Niger,DOSSO,1997,72.82011
Niger,DOSSO,1998,54.5494
Niger,DOSSO,1999,37.20325
Niger,DOSSO,2000,50.91288
Niger,DOSSO,2001,29.89633
Niger,DOSSO,2002,38.78416
Niger,DOSSO,2003,64.87384
Niger,DOSSO,2004,55.93443
Niger,DOSSO,2005,34.78345
Niger,DOSSO,2006,53.54889
Niger,DOSSO,2007,55.24466
Niger,DOSSO,2008,49.00655
Niger,DOSSO,2009,36.6066
Niger,DOSSO,2010,59.15272
Niger,DOSSO,2011,33.9696
Niger,DOSSO,2012,53.99342
Niger,DOSSO,2013,38.34052
Niger,DOSSO,2014,26.69795
Niger,DOSSO,2015,44.14082
Niger,DOSSO,2016,38.93157
Niger,DOSSO,2017,79.25918
Niger,DOSSO,2018,49.76173
Niger,DOSSO,2019,63.23447
Niger,DOSSO,2020,76.42964
Niger,DOSSO,2021,61.85855
Niger,DOSSO,2022,5.703236
