Country,Station,Year,Extreme_Precipitation
Niger,MAGARIA,1980,37.51387
Niger,MAGARIA,1981,41.24939
Niger,MAGARIA,1982,58.72566
Niger,MAGARIA,1983,50.62907
Niger,MAGARIA,1984,27.30069
Niger,MAGARIA,1985,26.27498
Niger,MAGARIA,1986,41.54392
Niger,MAGARIA,1987,30.5177
Niger,MAGARIA,1988,98.39936
Niger,MAGARIA,1989,37.80238
Niger,MAGARIA,1990,42.43616
Niger,MAGARIA,1991,39.42739
Niger,MAGARIA,1992,56.55711
Niger,MAGARIA,1993,37.20366
Niger,MAGARIA,1994,53.62885
Niger,MAGARIA,1995,37.96458
Niger,MAGARIA,1996,36.30015
Niger,MAGARIA,1997,23.84618
Niger,MAGARIA,1998,38.36901
Niger,MAGARIA,1999,23.5639
Niger,MAGARIA,2000,40.7447
Niger,MAGARIA,2001,48.50994
Niger,MAGARIA,2002,29.52392
Niger,MAGARIA,2003,51.97261
Niger,MAGARIA,2004,39.53048
Niger,MAGARIA,2005,69.98423
Niger,MAGARIA,2006,45.81428
Niger,MAGARIA,2007,30.15007
Niger,MAGARIA,2008,67.714
Niger,MAGARIA,2009,33.16306
Niger,MAGARIA,2010,49.09198
Niger,MAGARIA,2011,36.39904
Niger,MAGARIA,2012,38.88973
Niger,MAGARIA,2013,46.32538
Niger,MAGARIA,2014,36.87226
Niger,MAGARIA,2015,33.89761
Niger,MAGARIA,2016,25.14729
Niger,MAGARIA,2017,51.21306
Niger,MAGARIA,2018,75.99453
Niger,MAGARIA,2019,47.46228
Niger,MAGARIA,2020,60.79515
Niger,MAGARIA,2021,94.27515
Niger,MAGARIA,2022,71.15273
