Country,Station,Year,Extreme_Precipitation
Niger,MAINE-SOROA,1980,23.35395
Niger,MAINE-SOROA,1981,27.11876
Niger,MAINE-SOROA,1982,23.69455
Niger,MAINE-SOROA,1983,61.52043
Niger,MAINE-SOROA,1984,21.79307
Niger,MAINE-SOROA,1985,26.67368
Niger,MAINE-SOROA,1986,24.88021
Niger,MAINE-SOROA,1987,28.66272
Niger,MAINE-SOROA,1988,35.64661
Niger,MAINE-SOROA,1989,54.40773
Niger,MAINE-SOROA,1990,43.76874
Niger,MAINE-SOROA,1991,42.0587
Niger,MAINE-SOROA,1992,38.90482
Niger,MAINE-SOROA,1993,34.58215
Niger,MAINE-SOROA,1994,37.32687
Niger,MAINE-SOROA,1995,38.07921
Niger,MAINE-SOROA,1996,30.92263
Niger,MAINE-SOROA,1997,49.42721
Niger,MAINE-SOROA,1998,57.29823
Niger,MAINE-SOROA,1999,43.59399
Niger,MAINE-SOROA,2000,29.50241
Niger,MAINE-SOROA,2001,33.41693
Niger,MAINE-SOROA,2002,43.59289
Niger,MAINE-SOROA,2003,53.38802
Niger,MAINE-SOROA,2004,29.3454
Niger,MAINE-SOROA,2005,53.07124
Niger,MAINE-SOROA,2006,68.45448
Niger,MAINE-SOROA,2007,52.78451
Niger,MAINE-SOROA,2008,30.35649
Niger,MAINE-SOROA,2009,45.74029
Niger,MAINE-SOROA,2010,43.8811
Niger,MAINE-SOROA,2011,39.73209
Niger,MAINE-SOROA,2012,59.39051
Niger,MAINE-SOROA,2013,34.60185
Niger,MAINE-SOROA,2014,40.95662
Niger,MAINE-SOROA,2015,38.06657
Niger,MAINE-SOROA,2016,45.13078
Niger,MAINE-SOROA,2017,32.4608
Niger,MAINE-SOROA,2018,37.42065
Niger,MAINE-SOROA,2019,49.10178
Niger,MAINE-SOROA,2020,49.71844
Niger,MAINE-SOROA,2021,74.44447
Niger,MAINE-SOROA,2022,0.3580976
