Country,Station,Year,Extreme_Precipitation
Niger,MARADI,1980,50.24699
Niger,MARADI,1981,31.56325
Niger,MARADI,1982,64.94052
Niger,MARADI,1983,26.33434
Niger,MARADI,1984,31.82933
Niger,MARADI,1985,54.30298
Niger,MARADI,1986,53.43742
Niger,MARADI,1987,36.65861
Niger,MARADI,1988,59.75092
Niger,MARADI,1989,63.47197
Niger,MARADI,1990,39.9955
Niger,MARADI,1991,31.57038
Niger,MARADI,1992,35.92595
Niger,MARADI,1993,49.08197
Niger,MARADI,1994,72.07768
Niger,MARADI,1995,47.38185
Niger,MARADI,1996,32.49137
Niger,MARADI,1997,40.3353
Niger,MARADI,1998,74.21329
Niger,MARADI,1999,30.69863
Niger,MARADI,2000,64.52593
Niger,MARADI,2001,44.51521
Niger,MARADI,2002,34.44164
Niger,MARADI,2003,79.3242
Niger,MARADI,2004,40.61055
Niger,MARADI,2005,70.23621
Niger,MARADI,2006,32.85926
Niger,MARADI,2007,51.04505
Niger,MARADI,2008,38.89761
Niger,MARADI,2009,53.5203
Niger,MARADI,2010,33.70384
Niger,MARADI,2011,26.62727
Niger,MARADI,2012,36.10727
Niger,MARADI,2013,51.59485
Niger,MARADI,2014,44.69504
Niger,MARADI,2015,49.39875
Niger,MARADI,2016,56.4449
Niger,MARADI,2017,85.63792
Niger,MARADI,2018,63.77523
Niger,MARADI,2019,54.6838
Niger,MARADI,2020,82.87866
Niger,MARADI,2021,45.0072
Niger,MARADI,2022,19.08532
