Country,Station,Year,Extreme_Precipitation
Niger,NIAMEY-AERO,1980,51.79808
Niger,NIAMEY-AERO,1981,55.87083
Niger,NIAMEY-AERO,1982,31.52679
Niger,NIAMEY-AERO,1983,48.46583
Niger,NIAMEY-AERO,1984,22.57518
Niger,NIAMEY-AERO,1985,22.26056
Niger,NIAMEY-AERO,1986,46.29176
Niger,NIAMEY-AERO,1987,26.63322
Niger,NIAMEY-AERO,1988,38.32328
Niger,NIAMEY-AERO,1989,45.28443
Niger,NIAMEY-AERO,1990,37.01402
Niger,NIAMEY-AERO,1991,46.38721
Niger,NIAMEY-AERO,1992,34.65875
Niger,NIAMEY-AERO,1993,29.62636
Niger,NIAMEY-AERO,1994,93.47202
Niger,NIAMEY-AERO,1995,38.26627
Niger,NIAMEY-AERO,1996,34.84362
Niger,NIAMEY-AERO,1997,33.50351
Niger,NIAMEY-AERO,1998,84.82415
Niger,NIAMEY-AERO,1999,49.14009
Niger,NIAMEY-AERO,2000,43.21259
Niger,NIAMEY-AERO,2001,36.9759
Niger,NIAMEY-AERO,2002,53.51558
Niger,NIAMEY-AERO,2003,69.51285
Niger,NIAMEY-AERO,2004,35.39684
Niger,NIAMEY-AERO,2005,42.46301
Niger,NIAMEY-AERO,2006,26.01793
Niger,NIAMEY-AERO,2007,29.83178
Niger,NIAMEY-AERO,2008,49.9244
Niger,NIAMEY-AERO,2009,41.3959
Niger,NIAMEY-AERO,2010,43.67848
Niger,NIAMEY-AERO,2011,29.3263
Niger,NIAMEY-AERO,2012,78.76222
Niger,NIAMEY-AERO,2013,50.47491
Niger,NIAMEY-AERO,2014,56.40647
Niger,NIAMEY-AERO,2015,46.22556
Niger,NIAMEY-AERO,2016,26.72468
Niger,NIAMEY-AERO,2017,98.67376
Niger,NIAMEY-AERO,2018,38.87105
Niger,NIAMEY-AERO,2019,35.19728
Niger,NIAMEY-AERO,2020,58.78888
Niger,NIAMEY-AERO,2021,56.15563
Niger,NIAMEY-AERO,2022,1.352758
