Country,Station,Year,Extreme_Precipitation
Niger,N_GUIGMI,1980,49.28289
Niger,N_GUIGMI,1981,25.72814
Niger,N_GUIGMI,1982,25.58566
Niger,N_GUIGMI,1983,26.53368
Niger,N_GUIGMI,1984,32.6635
Niger,N_GUIGMI,1985,29.14976
Niger,N_GUIGMI,1986,20.8558
Niger,N_GUIGMI,1987,16.87189
Niger,N_GUIGMI,1988,32.41856
Niger,N_GUIGMI,1989,22.44938
Niger,N_GUIGMI,1990,24.14098
Niger,N_GUIGMI,1991,24.98769
Niger,N_GUIGMI,1992,35.61707
Niger,N_GUIGMI,1993,38.35662
Niger,N_GUIGMI,1994,46.33056
Niger,N_GUIGMI,1995,45.29353
Niger,N_GUIGMI,1996,50.79637
Niger,N_GUIGMI,1997,93.55594
Niger,N_GUIGMI,1998,67.1712
Niger,N_GUIGMI,1999,45.81058
Niger,N_GUIGMI,2000,25.16602
Niger,N_GUIGMI,2001,39.31979
Niger,N_GUIGMI,2002,26.79532
Niger,N_GUIGMI,2003,39.25449
Niger,N_GUIGMI,2004,21.38074
Niger,N_GUIGMI,2005,61.72585
Niger,N_GUIGMI,2006,20.00968
Niger,N_GUIGMI,2007,32.3368
Niger,N_GUIGMI,2008,42.2386
Niger,N_GUIGMI,2009,32.8325
Niger,N_GUIGMI,2010,31.39625
Niger,N_GUIGMI,2011,52.08154
Niger,N_GUIGMI,2012,59.86192
Niger,N_GUIGMI,2013,33.99294
Niger,N_GUIGMI,2014,42.48203
Niger,N_GUIGMI,2015,50.34504
Niger,N_GUIGMI,2016,48.69472
Niger,N_GUIGMI,2017,34.42102
Niger,N_GUIGMI,2018,42.81789
Niger,N_GUIGMI,2019,53.22328
Niger,N_GUIGMI,2020,53.82349
Niger,N_GUIGMI,2021,69.07064
Niger,N_GUIGMI,2022,0.0076443739
