Country,Station,Year,Extreme_Precipitation
Niger,TILLABERY,1980,82.97053
Niger,TILLABERY,1981,22.71998
Niger,TILLABERY,1982,35.80651
Niger,TILLABERY,1983,33.28167
Niger,TILLABERY,1984,22.60643
Niger,TILLABERY,1985,28.66902
Niger,TILLABERY,1986,23.89021
Niger,TILLABERY,1987,18.4042
Niger,TILLABERY,1988,43.95154
Niger,TILLABERY,1989,47.80267
Niger,TILLABERY,1990,49.2736
Niger,TILLABERY,1991,54.50053
Niger,TILLABERY,1992,33.70281
Niger,TILLABERY,1993,37.15898
Niger,TILLABERY,1994,68.36819
Niger,TILLABERY,1995,33.2633
Niger,TILLABERY,1996,69.44209
Niger,TILLABERY,1997,29.25741
Niger,TILLABERY,1998,71.96716
Niger,TILLABERY,1999,32.39864
Niger,TILLABERY,2000,34.52517
Niger,TILLABERY,2001,33.41115
Niger,TILLABERY,2002,42.27391
Niger,TILLABERY,2003,53.41452
Niger,TILLABERY,2004,32.43633
Niger,TILLABERY,2005,55.90983
Niger,TILLABERY,2006,29.98478
Niger,TILLABERY,2007,36.87728
Niger,TILLABERY,2008,43.02834
Niger,TILLABERY,2009,33.22448
Niger,TILLABERY,2010,35.44855
Niger,TILLABERY,2011,34.39314
Niger,TILLABERY,2012,51.35607
Niger,TILLABERY,2013,59.8075
Niger,TILLABERY,2014,52.23993
Niger,TILLABERY,2015,39.03538
Niger,TILLABERY,2016,54.41586
Niger,TILLABERY,2017,69.54016
Niger,TILLABERY,2018,36.88329
Niger,TILLABERY,2019,30.66659
Niger,TILLABERY,2020,56.87066
Niger,TILLABERY,2021,38.14012
Niger,TILLABERY,2022,0.032377277
