Country,Station,Year,Number_days
Niger,AGADEZ,1980,25
Niger,AGADEZ,1981,14
Niger,AGADEZ,1982,11
Niger,AGADEZ,1983,7
Niger,AGADEZ,1984,1
Niger,AGADEZ,1985,10
Niger,AGADEZ,1986,15
Niger,AGADEZ,1987,8
Niger,AGADEZ,1988,16
Niger,AGADEZ,1989,10
Niger,AGADEZ,1990,9
Niger,AGADEZ,1991,13
Niger,AGADEZ,1992,14
Niger,AGADEZ,1993,9
Niger,AGADEZ,1994,18
Niger,AGADEZ,1995,7
Niger,AGADEZ,1996,9
Niger,AGADEZ,1997,13
Niger,AGADEZ,1998,18
Niger,AGADEZ,1999,13
Niger,AGADEZ,2000,8
Niger,AGADEZ,2001,9
Niger,AGADEZ,2002,12
Niger,AGADEZ,2003,14
Niger,AGADEZ,2004,10
Niger,AGADEZ,2005,16
Niger,AGADEZ,2006,13
Niger,AGADEZ,2007,17
Niger,AGADEZ,2008,15
Niger,AGADEZ,2009,17
Niger,AGADEZ,2010,13
Niger,AGADEZ,2011,14
Niger,AGADEZ,2012,17
Niger,AGADEZ,2013,11
Niger,AGADEZ,2014,15
Niger,AGADEZ,2015,16
Niger,AGADEZ,2016,14
Niger,AGADEZ,2017,16
Niger,AGADEZ,2018,15
Niger,AGADEZ,2019,21
Niger,AGADEZ,2020,21
Niger,AGADEZ,2021,14
Niger,AGADEZ,2022,0
