Country,Station,Year,Number_days
Niger,DOSSO,1980,62
Niger,DOSSO,1981,56
Niger,DOSSO,1982,46
Niger,DOSSO,1983,43
Niger,DOSSO,1984,42
Niger,DOSSO,1985,44
Niger,DOSSO,1986,63
Niger,DOSSO,1987,56
Niger,DOSSO,1988,63
Niger,DOSSO,1989,45
Niger,DOSSO,1990,47
Niger,DOSSO,1991,55
Niger,DOSSO,1992,50
Niger,DOSSO,1993,48
Niger,DOSSO,1994,65
Niger,DOSSO,1995,57
Niger,DOSSO,1996,49
Niger,DOSSO,1997,52
Niger,DOSSO,1998,64
Niger,DOSSO,1999,67
Niger,DOSSO,2000,44
Niger,DOSSO,2001,52
Niger,DOSSO,2002,53
Niger,DOSSO,2003,65
Niger,DOSSO,2004,53
Niger,DOSSO,2005,57
Niger,DOSSO,2006,68
Niger,DOSSO,2007,54
Niger,DOSSO,2008,51
Niger,DOSSO,2009,65
Niger,DOSSO,2010,76
Niger,DOSSO,2011,62
Niger,DOSSO,2012,64
Niger,DOSSO,2013,61
Niger,DOSSO,2014,67
Niger,DOSSO,2015,65
Niger,DOSSO,2016,74
Niger,DOSSO,2017,72
Niger,DOSSO,2018,63
Niger,DOSSO,2019,76
Niger,DOSSO,2020,67
Niger,DOSSO,2021,61
Niger,DOSSO,2022,2
