Country,Station,Year,Number_days
Niger,GOURE,1980,44
Niger,GOURE,1981,41
Niger,GOURE,1982,24
Niger,GOURE,1983,28
Niger,GOURE,1984,18
Niger,GOURE,1985,15
Niger,GOURE,1986,23
Niger,GOURE,1987,15
Niger,GOURE,1988,23
Niger,GOURE,1989,20
Niger,GOURE,1990,21
Niger,GOURE,1991,22
Niger,GOURE,1992,19
Niger,GOURE,1993,20
Niger,GOURE,1994,33
Niger,GOURE,1995,20
Niger,GOURE,1996,17
Niger,GOURE,1997,25
Niger,GOURE,1998,24
Niger,GOURE,1999,27
Niger,GOURE,2000,23
Niger,GOURE,2001,22
Niger,GOURE,2002,20
Niger,GOURE,2003,24
Niger,GOURE,2004,19
Niger,GOURE,2005,22
Niger,GOURE,2006,30
Niger,GOURE,2007,23
Niger,GOURE,2008,21
Niger,GOURE,2009,20
Niger,GOURE,2010,34
Niger,GOURE,2011,24
Niger,GOURE,2012,30
Niger,GOURE,2013,22
Niger,GOURE,2014,16
Niger,GOURE,2015,25
Niger,GOURE,2016,26
Niger,GOURE,2017,22
Niger,GOURE,2018,33
Niger,GOURE,2019,30
Niger,GOURE,2020,26
Niger,GOURE,2021,31
Niger,GOURE,2022,0
