Country,Station,Year,Number_days
Niger,MARADI,1980,50
Niger,MARADI,1981,38
Niger,MARADI,1982,16
Niger,MARADI,1983,25
Niger,MARADI,1984,25
Niger,MARADI,1985,22
Niger,MARADI,1986,41
Niger,MARADI,1987,26
Niger,MARADI,1988,32
Niger,MARADI,1989,33
Niger,MARADI,1990,28
Niger,MARADI,1991,40
Niger,MARADI,1992,35
Niger,MARADI,1993,30
Niger,MARADI,1994,36
Niger,MARADI,1995,30
Niger,MARADI,1996,26
Niger,MARADI,1997,27
Niger,MARADI,1998,37
Niger,MARADI,1999,40
Niger,MARADI,2000,31
Niger,MARADI,2001,27
Niger,MARADI,2002,38
Niger,MARADI,2003,36
Niger,MARADI,2004,28
Niger,MARADI,2005,30
Niger,MARADI,2006,31
Niger,MARADI,2007,33
Niger,MARADI,2008,35
Niger,MARADI,2009,33
Niger,MARADI,2010,42
Niger,MARADI,2011,32
Niger,MARADI,2012,41
Niger,MARADI,2013,38
Niger,MARADI,2014,27
Niger,MARADI,2015,35
Niger,MARADI,2016,33
Niger,MARADI,2017,26
Niger,MARADI,2018,36
Niger,MARADI,2019,44
Niger,MARADI,2020,45
Niger,MARADI,2021,34
Niger,MARADI,2022,3
