Country,Station,Year,Number_days
Niger,NIAMEY-AERO,1980,47
Niger,NIAMEY-AERO,1981,37
Niger,NIAMEY-AERO,1982,33
Niger,NIAMEY-AERO,1983,35
Niger,NIAMEY-AERO,1984,32
Niger,NIAMEY-AERO,1985,27
Niger,NIAMEY-AERO,1986,38
Niger,NIAMEY-AERO,1987,39
Niger,NIAMEY-AERO,1988,37
Niger,NIAMEY-AERO,1989,27
Niger,NIAMEY-AERO,1990,29
Niger,NIAMEY-AERO,1991,34
Niger,NIAMEY-AERO,1992,33
Niger,NIAMEY-AERO,1993,32
Niger,NIAMEY-AERO,1994,39
Niger,NIAMEY-AERO,1995,39
Niger,NIAMEY-AERO,1996,37
Niger,NIAMEY-AERO,1997,36
Niger,NIAMEY-AERO,1998,49
Niger,NIAMEY-AERO,1999,45
Niger,NIAMEY-AERO,2000,32
Niger,NIAMEY-AERO,2001,33
Niger,NIAMEY-AERO,2002,40
Niger,NIAMEY-AERO,2003,38
Niger,NIAMEY-AERO,2004,40
Niger,NIAMEY-AERO,2005,43
Niger,NIAMEY-AERO,2006,39
Niger,NIAMEY-AERO,2007,41
Niger,NIAMEY-AERO,2008,34
Niger,NIAMEY-AERO,2009,33
Niger,NIAMEY-AERO,2010,49
Niger,NIAMEY-AERO,2011,30
Niger,NIAMEY-AERO,2012,45
Niger,NIAMEY-AERO,2013,41
Niger,NIAMEY-AERO,2014,40
Niger,NIAMEY-AERO,2015,48
Niger,NIAMEY-AERO,2016,46
Niger,NIAMEY-AERO,2017,37
Niger,NIAMEY-AERO,2018,37
Niger,NIAMEY-AERO,2019,38
Niger,NIAMEY-AERO,2020,44
Niger,NIAMEY-AERO,2021,34
Niger,NIAMEY-AERO,2022,0
