Country,Station,Year,Number_days
Niger,TAHOUA,1980,35
Niger,TAHOUA,1981,34
Niger,TAHOUA,1982,21
Niger,TAHOUA,1983,18
Niger,TAHOUA,1984,18
Niger,TAHOUA,1985,18
Niger,TAHOUA,1986,29
Niger,TAHOUA,1987,21
Niger,TAHOUA,1988,25
Niger,TAHOUA,1989,28
Niger,TAHOUA,1990,22
Niger,TAHOUA,1991,34
Niger,TAHOUA,1992,22
Niger,TAHOUA,1993,23
Niger,TAHOUA,1994,24
Niger,TAHOUA,1995,20
Niger,TAHOUA,1996,26
Niger,TAHOUA,1997,28
Niger,TAHOUA,1998,31
Niger,TAHOUA,1999,32
Niger,TAHOUA,2000,25
Niger,TAHOUA,2001,23
Niger,TAHOUA,2002,31
Niger,TAHOUA,2003,25
Niger,TAHOUA,2004,15
Niger,TAHOUA,2005,22
Niger,TAHOUA,2006,28
Niger,TAHOUA,2007,30
Niger,TAHOUA,2008,26
Niger,TAHOUA,2009,28
Niger,TAHOUA,2010,34
Niger,TAHOUA,2011,25
Niger,TAHOUA,2012,28
Niger,TAHOUA,2013,25
Niger,TAHOUA,2014,26
Niger,TAHOUA,2015,27
Niger,TAHOUA,2016,33
Niger,TAHOUA,2017,22
Niger,TAHOUA,2018,30
Niger,TAHOUA,2019,35
Niger,TAHOUA,2020,36
Niger,TAHOUA,2021,27
Niger,TAHOUA,2022,0
