Country,Station,Year,sum_Precipitation
Niger,DIFFA,1980,38
Niger,DIFFA,1981,25
Niger,DIFFA,1982,20
Niger,DIFFA,1983,20
Niger,DIFFA,1984,17
Niger,DIFFA,1985,24
Niger,DIFFA,1986,23
Niger,DIFFA,1987,18
Niger,DIFFA,1988,28
Niger,DIFFA,1989,19
Niger,DIFFA,1990,21
Niger,DIFFA,1991,20
Niger,DIFFA,1992,22
Niger,DIFFA,1993,18
Niger,DIFFA,1994,27
Niger,DIFFA,1995,19
Niger,DIFFA,1996,23
Niger,DIFFA,1997,21
Niger,DIFFA,1998,28
Niger,DIFFA,1999,25
Niger,DIFFA,2000,20
Niger,DIFFA,2001,16
Niger,DIFFA,2002,18
Niger,DIFFA,2003,27
Niger,DIFFA,2004,15
Niger,DIFFA,2005,19
Niger,DIFFA,2006,29
Niger,DIFFA,2007,27
Niger,DIFFA,2008,20
Niger,DIFFA,2009,21
Niger,DIFFA,2010,29
Niger,DIFFA,2011,21
Niger,DIFFA,2012,27
Niger,DIFFA,2013,27
Niger,DIFFA,2014,21
Niger,DIFFA,2015,19
Niger,DIFFA,2016,29
Niger,DIFFA,2017,23
Niger,DIFFA,2018,30
Niger,DIFFA,2019,37
Niger,DIFFA,2020,26
Niger,DIFFA,2021,23
Niger,DIFFA,2022,0
