Country,Station,Year,sum_Precipitation
Niger,GAYA,1980,66
Niger,GAYA,1981,58
Niger,GAYA,1982,49
Niger,GAYA,1983,39
Niger,GAYA,1984,57
Niger,GAYA,1985,64
Niger,GAYA,1986,67
Niger,GAYA,1987,59
Niger,GAYA,1988,64
Niger,GAYA,1989,65
Niger,GAYA,1990,54
Niger,GAYA,1991,71
Niger,GAYA,1992,58
Niger,GAYA,1993,53
Niger,GAYA,1994,84
Niger,GAYA,1995,59
Niger,GAYA,1996,59
Niger,GAYA,1997,64
Niger,GAYA,1998,70
Niger,GAYA,1999,70
Niger,GAYA,2000,49
Niger,GAYA,2001,59
Niger,GAYA,2002,65
Niger,GAYA,2003,71
Niger,GAYA,2004,64
Niger,GAYA,2005,60
Niger,GAYA,2006,71
Niger,GAYA,2007,58
Niger,GAYA,2008,58
Niger,GAYA,2009,65
Niger,GAYA,2010,80
Niger,GAYA,2011,56
Niger,GAYA,2012,71
Niger,GAYA,2013,64
Niger,GAYA,2014,63
Niger,GAYA,2015,71
Niger,GAYA,2016,73
Niger,GAYA,2017,79
Niger,GAYA,2018,77
Niger,GAYA,2019,78
Niger,GAYA,2020,81
Niger,GAYA,2021,68
Niger,GAYA,2022,3
