Country,Station,Year,sum_Precipitation
Niger,MAGARIA,1980,61
Niger,MAGARIA,1981,35
Niger,MAGARIA,1982,33
Niger,MAGARIA,1983,29
Niger,MAGARIA,1984,26
Niger,MAGARIA,1985,31
Niger,MAGARIA,1986,40
Niger,MAGARIA,1987,29
Niger,MAGARIA,1988,33
Niger,MAGARIA,1989,25
Niger,MAGARIA,1990,23
Niger,MAGARIA,1991,34
Niger,MAGARIA,1992,39
Niger,MAGARIA,1993,29
Niger,MAGARIA,1994,41
Niger,MAGARIA,1995,34
Niger,MAGARIA,1996,32
Niger,MAGARIA,1997,36
Niger,MAGARIA,1998,36
Niger,MAGARIA,1999,27
Niger,MAGARIA,2000,30
Niger,MAGARIA,2001,42
Niger,MAGARIA,2002,37
Niger,MAGARIA,2003,43
Niger,MAGARIA,2004,33
Niger,MAGARIA,2005,31
Niger,MAGARIA,2006,36
Niger,MAGARIA,2007,37
Niger,MAGARIA,2008,41
Niger,MAGARIA,2009,38
Niger,MAGARIA,2010,45
Niger,MAGARIA,2011,43
Niger,MAGARIA,2012,48
Niger,MAGARIA,2013,36
Niger,MAGARIA,2014,37
Niger,MAGARIA,2015,42
Niger,MAGARIA,2016,42
Niger,MAGARIA,2017,35
Niger,MAGARIA,2018,48
Niger,MAGARIA,2019,52
Niger,MAGARIA,2020,57
Niger,MAGARIA,2021,70
Niger,MAGARIA,2022,14
