Country,Station,Year,sum_Precipitation
Niger,N_GUIGMI,1980,32
Niger,N_GUIGMI,1981,23
Niger,N_GUIGMI,1982,16
Niger,N_GUIGMI,1983,21
Niger,N_GUIGMI,1984,15
Niger,N_GUIGMI,1985,22
Niger,N_GUIGMI,1986,20
Niger,N_GUIGMI,1987,17
Niger,N_GUIGMI,1988,26
Niger,N_GUIGMI,1989,10
Niger,N_GUIGMI,1990,15
Niger,N_GUIGMI,1991,13
Niger,N_GUIGMI,1992,18
Niger,N_GUIGMI,1993,12
Niger,N_GUIGMI,1994,26
Niger,N_GUIGMI,1995,20
Niger,N_GUIGMI,1996,11
Niger,N_GUIGMI,1997,16
Niger,N_GUIGMI,1998,26
Niger,N_GUIGMI,1999,19
Niger,N_GUIGMI,2000,15
Niger,N_GUIGMI,2001,9
Niger,N_GUIGMI,2002,10
Niger,N_GUIGMI,2003,22
Niger,N_GUIGMI,2004,9
Niger,N_GUIGMI,2005,17
Niger,N_GUIGMI,2006,18
Niger,N_GUIGMI,2007,24
Niger,N_GUIGMI,2008,17
Niger,N_GUIGMI,2009,13
Niger,N_GUIGMI,2010,25
Niger,N_GUIGMI,2011,15
Niger,N_GUIGMI,2012,25
Niger,N_GUIGMI,2013,21
Niger,N_GUIGMI,2014,15
Niger,N_GUIGMI,2015,13
Niger,N_GUIGMI,2016,25
Niger,N_GUIGMI,2017,18
Niger,N_GUIGMI,2018,22
Niger,N_GUIGMI,2019,27
Niger,N_GUIGMI,2020,23
Niger,N_GUIGMI,2021,20
Niger,N_GUIGMI,2022,0
