Country,Station,Year,sum_Precipitation
Niger,TILLABERY,1980,40
Niger,TILLABERY,1981,34
Niger,TILLABERY,1982,31
Niger,TILLABERY,1983,36
Niger,TILLABERY,1984,25
Niger,TILLABERY,1985,28
Niger,TILLABERY,1986,32
Niger,TILLABERY,1987,31
Niger,TILLABERY,1988,35
Niger,TILLABERY,1989,30
Niger,TILLABERY,1990,32
Niger,TILLABERY,1991,33
Niger,TILLABERY,1992,29
Niger,TILLABERY,1993,29
Niger,TILLABERY,1994,38
Niger,TILLABERY,1995,37
Niger,TILLABERY,1996,35
Niger,TILLABERY,1997,32
Niger,TILLABERY,1998,41
Niger,TILLABERY,1999,38
Niger,TILLABERY,2000,28
Niger,TILLABERY,2001,32
Niger,TILLABERY,2002,35
Niger,TILLABERY,2003,42
Niger,TILLABERY,2004,37
Niger,TILLABERY,2005,42
Niger,TILLABERY,2006,32
Niger,TILLABERY,2007,39
Niger,TILLABERY,2008,30
Niger,TILLABERY,2009,37
Niger,TILLABERY,2010,42
Niger,TILLABERY,2011,28
Niger,TILLABERY,2012,39
Niger,TILLABERY,2013,40
Niger,TILLABERY,2014,32
Niger,TILLABERY,2015,44
Niger,TILLABERY,2016,46
Niger,TILLABERY,2017,34
Niger,TILLABERY,2018,34
Niger,TILLABERY,2019,33
Niger,TILLABERY,2020,43
Niger,TILLABERY,2021,33
Niger,TILLABERY,2022,0
