Country,Station,Year,sum_Precipitation
Niger,ZINDER,1980,40
Niger,ZINDER,1981,33
Niger,ZINDER,1982,26
Niger,ZINDER,1983,28
Niger,ZINDER,1984,19
Niger,ZINDER,1985,32
Niger,ZINDER,1986,35
Niger,ZINDER,1987,22
Niger,ZINDER,1988,31
Niger,ZINDER,1989,21
Niger,ZINDER,1990,27
Niger,ZINDER,1991,28
Niger,ZINDER,1992,37
Niger,ZINDER,1993,19
Niger,ZINDER,1994,34
Niger,ZINDER,1995,29
Niger,ZINDER,1996,24
Niger,ZINDER,1997,17
Niger,ZINDER,1998,33
Niger,ZINDER,1999,29
Niger,ZINDER,2000,26
Niger,ZINDER,2001,34
Niger,ZINDER,2002,27
Niger,ZINDER,2003,34
Niger,ZINDER,2004,24
Niger,ZINDER,2005,34
Niger,ZINDER,2006,32
Niger,ZINDER,2007,29
Niger,ZINDER,2008,36
Niger,ZINDER,2009,34
Niger,ZINDER,2010,39
Niger,ZINDER,2011,32
Niger,ZINDER,2012,42
Niger,ZINDER,2013,33
Niger,ZINDER,2014,28
Niger,ZINDER,2015,36
Niger,ZINDER,2016,29
Niger,ZINDER,2017,33
Niger,ZINDER,2018,44
Niger,ZINDER,2019,38
Niger,ZINDER,2020,36
Niger,ZINDER,2021,39
Niger,ZINDER,2022,1
