Country,Station,Year,sum_Precipitation
Niger,AGADEZ,1980,254.47067616
Niger,AGADEZ,1981,195.2569842527
Niger,AGADEZ,1982,148.3321003849
Niger,AGADEZ,1983,76.4359709433
Niger,AGADEZ,1984,9.3943854345
Niger,AGADEZ,1985,84.5620141235
Niger,AGADEZ,1986,119.3233475069
Niger,AGADEZ,1987,175.9562178662
Niger,AGADEZ,1988,155.1031781719
Niger,AGADEZ,1989,102.575074608
Niger,AGADEZ,1990,86.7684837655
Niger,AGADEZ,1991,201.4588193476
Niger,AGADEZ,1992,166.0001385163
Niger,AGADEZ,1993,138.3894346953
Niger,AGADEZ,1994,208.3453138716
Niger,AGADEZ,1995,50.0331055053
Niger,AGADEZ,1996,76.1912058238
Niger,AGADEZ,1997,136.4486586303
Niger,AGADEZ,1998,206.9237783628
Niger,AGADEZ,1999,189.3611016392
Niger,AGADEZ,2000,91.2501462307
Niger,AGADEZ,2001,74.0421113601
Niger,AGADEZ,2002,128.5499874645
Niger,AGADEZ,2003,167.5890852934
Niger,AGADEZ,2004,151.2779758394
Niger,AGADEZ,2005,156.2669128667
Niger,AGADEZ,2006,153.9569674319
Niger,AGADEZ,2007,243.9375719217
Niger,AGADEZ,2008,122.5707119018
Niger,AGADEZ,2009,167.5624782153
Niger,AGADEZ,2010,187.6809991999
Niger,AGADEZ,2011,155.5663789132
Niger,AGADEZ,2012,206.318780557
Niger,AGADEZ,2013,207.3861865225
Niger,AGADEZ,2014,108.7206742846
Niger,AGADEZ,2015,211.5339325906
Niger,AGADEZ,2016,201.4474538709
Niger,AGADEZ,2017,132.072476878
Niger,AGADEZ,2018,233.3885410702
Niger,AGADEZ,2019,256.5480513735
Niger,AGADEZ,2020,249.576387978
Niger,AGADEZ,2021,112.1311614165
Niger,AGADEZ,2022,0.2766793
