Country,Station,Year,sum_Precipitation
Niger,BIRNI-N_KONNI,1980,594.3418667043
Niger,BIRNI-N_KONNI,1981,371.6971353726
Niger,BIRNI-N_KONNI,1982,356.6412372423
Niger,BIRNI-N_KONNI,1983,348.9886929537
Niger,BIRNI-N_KONNI,1984,353.833409362
Niger,BIRNI-N_KONNI,1985,298.91126583
Niger,BIRNI-N_KONNI,1986,464.9793630861
Niger,BIRNI-N_KONNI,1987,313.1514503461
Niger,BIRNI-N_KONNI,1988,572.1842916509
Niger,BIRNI-N_KONNI,1989,380.4227414455
Niger,BIRNI-N_KONNI,1990,399.8163207999
Niger,BIRNI-N_KONNI,1991,693.1722402196
Niger,BIRNI-N_KONNI,1992,436.2272660177
Niger,BIRNI-N_KONNI,1993,423.4055396493
Niger,BIRNI-N_KONNI,1994,607.7630455353
Niger,BIRNI-N_KONNI,1995,391.2922147445
Niger,BIRNI-N_KONNI,1996,434.2097841664
Niger,BIRNI-N_KONNI,1997,359.5720548103
Niger,BIRNI-N_KONNI,1998,504.3382263459
Niger,BIRNI-N_KONNI,1999,599.2902346242
Niger,BIRNI-N_KONNI,2000,366.5977778627
Niger,BIRNI-N_KONNI,2001,336.5717645049
Niger,BIRNI-N_KONNI,2002,438.305816125
Niger,BIRNI-N_KONNI,2003,473.0990032157
Niger,BIRNI-N_KONNI,2004,315.3010924156
Niger,BIRNI-N_KONNI,2005,522.4345712386
Niger,BIRNI-N_KONNI,2006,566.3677624648
Niger,BIRNI-N_KONNI,2007,382.758802684
Niger,BIRNI-N_KONNI,2008,536.1062491299
Niger,BIRNI-N_KONNI,2009,353.2771344909
Niger,BIRNI-N_KONNI,2010,532.2460343839
Niger,BIRNI-N_KONNI,2011,404.6437152111
Niger,BIRNI-N_KONNI,2012,443.0724218614
Niger,BIRNI-N_KONNI,2013,396.0144560412
Niger,BIRNI-N_KONNI,2014,460.5335007611
Niger,BIRNI-N_KONNI,2015,535.5782001624
Niger,BIRNI-N_KONNI,2016,458.4933484734
Niger,BIRNI-N_KONNI,2017,379.003618716
Niger,BIRNI-N_KONNI,2018,540.6158034197
Niger,BIRNI-N_KONNI,2019,423.774370253
Niger,BIRNI-N_KONNI,2020,799.6128894703
Niger,BIRNI-N_KONNI,2021,420.1078261468
Niger,BIRNI-N_KONNI,2022,6.342547448
