Country,Station,Year,sum_Precipitation
Niger,DIFFA,1980,422.6145903487
Niger,DIFFA,1981,222.1915329976
Niger,DIFFA,1982,181.7613835196
Niger,DIFFA,1983,175.1349091697
Niger,DIFFA,1984,182.8391404975
Niger,DIFFA,1985,204.0498523461
Niger,DIFFA,1986,239.8883232606
Niger,DIFFA,1987,179.2709760312
Niger,DIFFA,1988,346.1060608841
Niger,DIFFA,1989,231.495347469
Niger,DIFFA,1990,148.4069072724
Niger,DIFFA,1991,224.4974080442
Niger,DIFFA,1992,221.5763848656
Niger,DIFFA,1993,213.9022793825
Niger,DIFFA,1994,476.0738465555
Niger,DIFFA,1995,316.6376606655
Niger,DIFFA,1996,218.6591067323
Niger,DIFFA,1997,235.09699019
Niger,DIFFA,1998,346.6679040678
Niger,DIFFA,1999,385.1810316328
Niger,DIFFA,2000,209.2446183721
Niger,DIFFA,2001,196.6346181535
Niger,DIFFA,2002,152.5143328853
Niger,DIFFA,2003,343.148405839
Niger,DIFFA,2004,178.1397580657
Niger,DIFFA,2005,280.6413731611
Niger,DIFFA,2006,283.6233917066
Niger,DIFFA,2007,377.6913707745
Niger,DIFFA,2008,255.0213095634
Niger,DIFFA,2009,207.6796702816
Niger,DIFFA,2010,278.9531783682
Niger,DIFFA,2011,278.3575864361
Niger,DIFFA,2012,378.3796695811
Niger,DIFFA,2013,274.1256455108
Niger,DIFFA,2014,222.4945598897
Niger,DIFFA,2015,268.329100025
Niger,DIFFA,2016,357.2241680769
Niger,DIFFA,2017,299.1732486392
Niger,DIFFA,2018,356.470819014
Niger,DIFFA,2019,391.4792918272
Niger,DIFFA,2020,418.0192035763
Niger,DIFFA,2021,348.7456153911
Niger,DIFFA,2022,0.037051674
