Country,Station,Year,sum_Precipitation
Niger,DOSSO,1980,786.7428571095
Niger,DOSSO,1981,733.7551987541
Niger,DOSSO,1982,529.8688687567
Niger,DOSSO,1983,624.828377166
Niger,DOSSO,1984,511.2935979092
Niger,DOSSO,1985,578.2524375675
Niger,DOSSO,1986,743.7578727616
Niger,DOSSO,1987,592.8462355493
Niger,DOSSO,1988,642.4229626501
Niger,DOSSO,1989,555.3412422085
Niger,DOSSO,1990,604.6974131653
Niger,DOSSO,1991,727.8347492769
Niger,DOSSO,1992,568.9993123062
Niger,DOSSO,1993,503.1232334574
Niger,DOSSO,1994,903.2051838689
Niger,DOSSO,1995,617.8014083613
Niger,DOSSO,1996,517.697760771
Niger,DOSSO,1997,786.3958540249
Niger,DOSSO,1998,844.2666826345
Niger,DOSSO,1999,746.0977709481
Niger,DOSSO,2000,501.8342863631
Niger,DOSSO,2001,616.3701307026
Niger,DOSSO,2002,645.5992346292
Niger,DOSSO,2003,830.8162888912
Niger,DOSSO,2004,622.9623153728
Niger,DOSSO,2005,728.3629850168
Niger,DOSSO,2006,733.3735132559
Niger,DOSSO,2007,696.7287721899
Niger,DOSSO,2008,555.6267364778
Niger,DOSSO,2009,732.3361984364
Niger,DOSSO,2010,809.3512637079
Niger,DOSSO,2011,575.8881567203
Niger,DOSSO,2012,892.7474205671
Niger,DOSSO,2013,646.223138372
Niger,DOSSO,2014,649.9749616377
Niger,DOSSO,2015,889.992093903
Niger,DOSSO,2016,707.0266078734
Niger,DOSSO,2017,850.8263015985
Niger,DOSSO,2018,764.2242960088
Niger,DOSSO,2019,831.64070096
Niger,DOSSO,2020,880.6687494064
Niger,DOSSO,2021,741.2297394202
Niger,DOSSO,2022,17.0236103
