Country,Station,Year,sum_Precipitation
Niger,GAYA,1980,999.1569115378
Niger,GAYA,1981,944.6280697805
Niger,GAYA,1982,701.0214905909
Niger,GAYA,1983,748.8055653375
Niger,GAYA,1984,580.5037883542
Niger,GAYA,1985,731.1711951095
Niger,GAYA,1986,870.3068079681
Niger,GAYA,1987,633.2498390884
Niger,GAYA,1988,796.9076280242
Niger,GAYA,1989,693.4404027928
Niger,GAYA,1990,692.3247530347
Niger,GAYA,1991,796.5980244953
Niger,GAYA,1992,581.0377952007
Niger,GAYA,1993,625.9796954401
Niger,GAYA,1994,961.9471472065
Niger,GAYA,1995,598.0745905669
Niger,GAYA,1996,633.2745874146
Niger,GAYA,1997,794.9221978917
Niger,GAYA,1998,833.6389663913
Niger,GAYA,1999,770.9794183475
Niger,GAYA,2000,607.0276147252
Niger,GAYA,2001,680.0615422681
Niger,GAYA,2002,744.180739581
Niger,GAYA,2003,913.9197084741
Niger,GAYA,2004,659.6564150575
Niger,GAYA,2005,772.193433536
Niger,GAYA,2006,889.2195717689
Niger,GAYA,2007,826.5115210215
Niger,GAYA,2008,623.9686977285
Niger,GAYA,2009,811.0296273495
Niger,GAYA,2010,902.9300819329
Niger,GAYA,2011,703.690798423
Niger,GAYA,2012,939.5626161918
Niger,GAYA,2013,699.0236698101
Niger,GAYA,2014,684.0845417115
Niger,GAYA,2015,898.7142390181
Niger,GAYA,2016,774.3270562587
Niger,GAYA,2017,957.2242565311
Niger,GAYA,2018,969.1235885745
Niger,GAYA,2019,1019.8792507911
Niger,GAYA,2020,1001.9401542678
Niger,GAYA,2021,757.2033764829
Niger,GAYA,2022,17.729395924
