Country,Station,Year,sum_Precipitation
Niger,GOURE,1980,436.7868546161
Niger,GOURE,1981,363.8711572419
Niger,GOURE,1982,350.6429996822
Niger,GOURE,1983,300.0203700148
Niger,GOURE,1984,245.2797645994
Niger,GOURE,1985,235.9584858143
Niger,GOURE,1986,382.7674298303
Niger,GOURE,1987,153.4554235013
Niger,GOURE,1988,438.1204174396
Niger,GOURE,1989,291.1786854837
Niger,GOURE,1990,214.5212367606
Niger,GOURE,1991,334.3235703261
Niger,GOURE,1992,243.2227854322
Niger,GOURE,1993,237.5129550023
Niger,GOURE,1994,496.368375348
Niger,GOURE,1995,448.603060822
Niger,GOURE,1996,303.6566841756
Niger,GOURE,1997,227.0934835576
Niger,GOURE,1998,430.6473373469
Niger,GOURE,1999,393.8528369203
Niger,GOURE,2000,346.6423339539
Niger,GOURE,2001,392.695509192
Niger,GOURE,2002,260.9278161805
Niger,GOURE,2003,293.1050725935
Niger,GOURE,2004,301.167469047
Niger,GOURE,2005,462.4921402641
Niger,GOURE,2006,380.2454373159
Niger,GOURE,2007,430.79043573
Niger,GOURE,2008,247.2835787752
Niger,GOURE,2009,223.327143466
Niger,GOURE,2010,475.7885634687
Niger,GOURE,2011,338.8934476134
Niger,GOURE,2012,514.8040491129
Niger,GOURE,2013,391.3279918779
Niger,GOURE,2014,238.2237877892
Niger,GOURE,2015,330.37624329
Niger,GOURE,2016,359.8261306933
Niger,GOURE,2017,338.657372045
Niger,GOURE,2018,395.6274274693
Niger,GOURE,2019,544.883753486
Niger,GOURE,2020,448.4220466216
Niger,GOURE,2021,790.1150547989
Niger,GOURE,2022,0.0559461248
