Country,Station,Year,sum_Precipitation
Niger,MAGARIA,1980,694.6310181239
Niger,MAGARIA,1981,475.9841343032
Niger,MAGARIA,1982,448.1925991374
Niger,MAGARIA,1983,345.4728490867
Niger,MAGARIA,1984,278.0845135732
Niger,MAGARIA,1985,310.0453520888
Niger,MAGARIA,1986,470.9174145756
Niger,MAGARIA,1987,290.9105923555
Niger,MAGARIA,1988,627.5816750161
Niger,MAGARIA,1989,344.731532774
Niger,MAGARIA,1990,319.1200859676
Niger,MAGARIA,1991,438.5236056887
Niger,MAGARIA,1992,515.5756627696
Niger,MAGARIA,1993,363.7205941894
Niger,MAGARIA,1994,549.3652760103
Niger,MAGARIA,1995,387.0808055048
Niger,MAGARIA,1996,430.4954494407
Niger,MAGARIA,1997,325.2505584418
Niger,MAGARIA,1998,569.3462204178
Niger,MAGARIA,1999,364.0563798595
Niger,MAGARIA,2000,399.6425949665
Niger,MAGARIA,2001,482.2463065497
Niger,MAGARIA,2002,423.6797964791
Niger,MAGARIA,2003,610.4510249926
Niger,MAGARIA,2004,374.0909111163
Niger,MAGARIA,2005,519.6528428674
Niger,MAGARIA,2006,477.7201871604
Niger,MAGARIA,2007,433.7287494949
Niger,MAGARIA,2008,447.9769746672
Niger,MAGARIA,2009,440.753107205
Niger,MAGARIA,2010,521.4488966888
Niger,MAGARIA,2011,502.6791748402
Niger,MAGARIA,2012,703.6115328886
Niger,MAGARIA,2013,482.3593094559
Niger,MAGARIA,2014,404.0585587948
Niger,MAGARIA,2015,465.7375601915
Niger,MAGARIA,2016,412.0843332411
Niger,MAGARIA,2017,503.445642614
Niger,MAGARIA,2018,627.203651787
Niger,MAGARIA,2019,611.5315637884
Niger,MAGARIA,2020,827.4583796133
Niger,MAGARIA,2021,1164.162897542
Niger,MAGARIA,2022,172.0569729
