Country,Station,Year,sum_Precipitation
Niger,MAINE-SOROA,1980,372.5808094258
Niger,MAINE-SOROA,1981,267.0053437857
Niger,MAINE-SOROA,1982,221.4014899463
Niger,MAINE-SOROA,1983,203.0939050772
Niger,MAINE-SOROA,1984,189.3276491197
Niger,MAINE-SOROA,1985,194.9538597369
Niger,MAINE-SOROA,1986,239.6645480094
Niger,MAINE-SOROA,1987,178.8172765553
Niger,MAINE-SOROA,1988,368.6178166958
Niger,MAINE-SOROA,1989,291.2655691444
Niger,MAINE-SOROA,1990,239.607169733
Niger,MAINE-SOROA,1991,287.2143695428
Niger,MAINE-SOROA,1992,238.763217044
Niger,MAINE-SOROA,1993,287.0761979767
Niger,MAINE-SOROA,1994,489.855416241
Niger,MAINE-SOROA,1995,323.8809215316
Niger,MAINE-SOROA,1996,361.2803415458
Niger,MAINE-SOROA,1997,247.660044392
Niger,MAINE-SOROA,1998,389.1440766212
Niger,MAINE-SOROA,1999,489.1618664246
Niger,MAINE-SOROA,2000,252.5125840618
Niger,MAINE-SOROA,2001,334.8455305192
Niger,MAINE-SOROA,2002,260.4796416346
Niger,MAINE-SOROA,2003,426.6668302552
Niger,MAINE-SOROA,2004,211.0432022606
Niger,MAINE-SOROA,2005,327.7745671289
Niger,MAINE-SOROA,2006,358.8703889028
Niger,MAINE-SOROA,2007,411.9900506749
Niger,MAINE-SOROA,2008,292.732386712
Niger,MAINE-SOROA,2009,277.3423441548
Niger,MAINE-SOROA,2010,384.0419896069
Niger,MAINE-SOROA,2011,318.4038494167
Niger,MAINE-SOROA,2012,483.8678835798
Niger,MAINE-SOROA,2013,351.3921574684
Niger,MAINE-SOROA,2014,283.1837713807
Niger,MAINE-SOROA,2015,325.3474176818
Niger,MAINE-SOROA,2016,411.9614702492
Niger,MAINE-SOROA,2017,376.027303979
Niger,MAINE-SOROA,2018,412.1879463706
Niger,MAINE-SOROA,2019,492.3701878653
Niger,MAINE-SOROA,2020,455.4605214917
Niger,MAINE-SOROA,2021,396.783060153
Niger,MAINE-SOROA,2022,0.3580976
