Country,Station,Year,sum_Precipitation
Niger,MARADI,1980,684.7909439889
Niger,MARADI,1981,454.3281759268
Niger,MARADI,1982,347.0342263008
Niger,MARADI,1983,298.6590816437
Niger,MARADI,1984,283.4119027148
Niger,MARADI,1985,371.4478147235
Niger,MARADI,1986,549.6992595645
Niger,MARADI,1987,315.6767562584
Niger,MARADI,1988,527.5865215143
Niger,MARADI,1989,542.5502300222
Niger,MARADI,1990,378.7831620902
Niger,MARADI,1991,510.6401686391
Niger,MARADI,1992,540.6219212464
Niger,MARADI,1993,371.3690266938
Niger,MARADI,1994,540.7625623259
Niger,MARADI,1995,462.9420840179
Niger,MARADI,1996,360.5279436716
Niger,MARADI,1997,356.151173118
Niger,MARADI,1998,494.2708076734
Niger,MARADI,1999,523.2464865384
Niger,MARADI,2000,464.3876422407
Niger,MARADI,2001,494.6345227139
Niger,MARADI,2002,495.4421097562
Niger,MARADI,2003,569.07450617
Niger,MARADI,2004,367.5660538864
Niger,MARADI,2005,551.1328914476
Niger,MARADI,2006,397.0350712972
Niger,MARADI,2007,446.2704304733
Niger,MARADI,2008,389.7428607177
Niger,MARADI,2009,437.1396166614
Niger,MARADI,2010,554.8338533919
Niger,MARADI,2011,384.8867886338
Niger,MARADI,2012,548.3115377316
Niger,MARADI,2013,468.2148024297
Niger,MARADI,2014,345.2894771961
Niger,MARADI,2015,427.451582812
Niger,MARADI,2016,543.6615564046
Niger,MARADI,2017,499.8161633216
Niger,MARADI,2018,611.792270753
Niger,MARADI,2019,585.0816568573
Niger,MARADI,2020,785.6152994187
Niger,MARADI,2021,526.2557144705
Niger,MARADI,2022,31.741054743
