Country,Station,Year,sum_Precipitation
Niger,NIAMEY-AERO,1980,617.6425659449
Niger,NIAMEY-AERO,1981,484.1280737758
Niger,NIAMEY-AERO,1982,361.5003173717
Niger,NIAMEY-AERO,1983,531.3366712201
Niger,NIAMEY-AERO,1984,258.3048194868
Niger,NIAMEY-AERO,1985,302.1633162607
Niger,NIAMEY-AERO,1986,467.067691542
Niger,NIAMEY-AERO,1987,387.0021198848
Niger,NIAMEY-AERO,1988,487.0479352867
Niger,NIAMEY-AERO,1989,470.0796753651
Niger,NIAMEY-AERO,1990,409.075261035
Niger,NIAMEY-AERO,1991,461.784356878
Niger,NIAMEY-AERO,1992,487.0338930094
Niger,NIAMEY-AERO,1993,426.5206699589
Niger,NIAMEY-AERO,1994,609.8530068654
Niger,NIAMEY-AERO,1995,515.9847360647
Niger,NIAMEY-AERO,1996,520.360613262
Niger,NIAMEY-AERO,1997,409.6512278697
Niger,NIAMEY-AERO,1998,799.798812236
Niger,NIAMEY-AERO,1999,589.3617152639
Niger,NIAMEY-AERO,2000,455.3465564099
Niger,NIAMEY-AERO,2001,509.9515100042
Niger,NIAMEY-AERO,2002,424.0927703223
Niger,NIAMEY-AERO,2003,592.6807501985
Niger,NIAMEY-AERO,2004,396.225972033
Niger,NIAMEY-AERO,2005,596.2673534441
Niger,NIAMEY-AERO,2006,378.0214607915
Niger,NIAMEY-AERO,2007,491.8485613358
Niger,NIAMEY-AERO,2008,431.9351218059
Niger,NIAMEY-AERO,2009,507.9887241019
Niger,NIAMEY-AERO,2010,546.4656199162
Niger,NIAMEY-AERO,2011,364.8899871464
Niger,NIAMEY-AERO,2012,662.3400206193
Niger,NIAMEY-AERO,2013,554.1386718958
Niger,NIAMEY-AERO,2014,508.376101201
Niger,NIAMEY-AERO,2015,567.0073418612
Niger,NIAMEY-AERO,2016,615.5883872676
Niger,NIAMEY-AERO,2017,649.264201784
Niger,NIAMEY-AERO,2018,526.1618559052
Niger,NIAMEY-AERO,2019,468.5273661748
Niger,NIAMEY-AERO,2020,693.3959662599
Niger,NIAMEY-AERO,2021,481.8902379484
Niger,NIAMEY-AERO,2022,2.4612302954
