Country,Station,Year,sum_Precipitation
Niger,N_GUIGMI,1980,450.9288472054
Niger,N_GUIGMI,1981,197.458010227
Niger,N_GUIGMI,1982,152.9638447874
Niger,N_GUIGMI,1983,158.1584256546
Niger,N_GUIGMI,1984,164.9088070409
Niger,N_GUIGMI,1985,204.8891742055
Niger,N_GUIGMI,1986,201.0487615914
Niger,N_GUIGMI,1987,144.2877103556
Niger,N_GUIGMI,1988,291.4532530049
Niger,N_GUIGMI,1989,113.6887390732
Niger,N_GUIGMI,1990,146.0032304159
Niger,N_GUIGMI,1991,140.182504941
Niger,N_GUIGMI,1992,217.1510038078
Niger,N_GUIGMI,1993,155.3459801837
Niger,N_GUIGMI,1994,430.6669860144
Niger,N_GUIGMI,1995,303.1826085629
Niger,N_GUIGMI,1996,188.3770002567
Niger,N_GUIGMI,1997,245.3899980249
Niger,N_GUIGMI,1998,315.6233838913
Niger,N_GUIGMI,1999,346.0800440956
Niger,N_GUIGMI,2000,181.5748066598
Niger,N_GUIGMI,2001,157.2633782525
Niger,N_GUIGMI,2002,126.3471816797
Niger,N_GUIGMI,2003,235.6932331498
Niger,N_GUIGMI,2004,95.2428383174
Niger,N_GUIGMI,2005,291.0514090441
Niger,N_GUIGMI,2006,198.3734864672
Niger,N_GUIGMI,2007,257.4296509642
Niger,N_GUIGMI,2008,232.059570577
Niger,N_GUIGMI,2009,169.9277366024
Niger,N_GUIGMI,2010,235.8378668653
Niger,N_GUIGMI,2011,260.766639156
Niger,N_GUIGMI,2012,365.378340038
Niger,N_GUIGMI,2013,235.2933844572
Niger,N_GUIGMI,2014,200.2295856916
Niger,N_GUIGMI,2015,255.8968838015
Niger,N_GUIGMI,2016,323.552828231
Niger,N_GUIGMI,2017,227.9458635283
Niger,N_GUIGMI,2018,328.8365849573
Niger,N_GUIGMI,2019,300.3866119871
Niger,N_GUIGMI,2020,387.3276758833
Niger,N_GUIGMI,2021,300.957863783
Niger,N_GUIGMI,2022,0.0076443739
