Country,Station,Year,sum_Precipitation
Niger,TAHOUA,1980,423.4018264433
Niger,TAHOUA,1981,411.828127347
Niger,TAHOUA,1982,303.6183329342
Niger,TAHOUA,1983,327.975994635
Niger,TAHOUA,1984,283.6935714265
Niger,TAHOUA,1985,243.2938572483
Niger,TAHOUA,1986,385.1055969922
Niger,TAHOUA,1987,323.6576010108
Niger,TAHOUA,1988,360.7251878821
Niger,TAHOUA,1989,346.5555073242
Niger,TAHOUA,1990,334.060517779
Niger,TAHOUA,1991,574.7071258647
Niger,TAHOUA,1992,348.6531343071
Niger,TAHOUA,1993,423.5704734475
Niger,TAHOUA,1994,486.7041849488
Niger,TAHOUA,1995,276.0034418683
Niger,TAHOUA,1996,332.0073276456
Niger,TAHOUA,1997,371.4260143868
Niger,TAHOUA,1998,514.9662721413
Niger,TAHOUA,1999,512.1922875641
Niger,TAHOUA,2000,300.0642429966
Niger,TAHOUA,2001,369.8618282123
Niger,TAHOUA,2002,393.1070662533
Niger,TAHOUA,2003,357.0093199533
Niger,TAHOUA,2004,182.1997168308
Niger,TAHOUA,2005,373.2732720063
Niger,TAHOUA,2006,294.3970944728
Niger,TAHOUA,2007,348.9473396391
Niger,TAHOUA,2008,450.0843703793
Niger,TAHOUA,2009,351.5990623546
Niger,TAHOUA,2010,374.4899172658
Niger,TAHOUA,2011,279.0877805953
Niger,TAHOUA,2012,365.9725873196
Niger,TAHOUA,2013,264.4029707246
Niger,TAHOUA,2014,325.2075688886
Niger,TAHOUA,2015,341.0522190674
Niger,TAHOUA,2016,408.6187571921
Niger,TAHOUA,2017,317.8950715061
Niger,TAHOUA,2018,445.3233071293
Niger,TAHOUA,2019,349.0143331652
Niger,TAHOUA,2020,564.9201755525
Niger,TAHOUA,2021,379.6570132075
Niger,TAHOUA,2022,2.7468351
