Country,Station,Year,sum_Precipitation
Niger,TILLABERY,1980,636.5695648791
Niger,TILLABERY,1981,325.6497992145
Niger,TILLABERY,1982,313.389187094
Niger,TILLABERY,1983,404.4183506729
Niger,TILLABERY,1984,216.6875295465
Niger,TILLABERY,1985,254.8370788726
Niger,TILLABERY,1986,377.2819020983
Niger,TILLABERY,1987,285.1694675904
Niger,TILLABERY,1988,433.3946857537
Niger,TILLABERY,1989,447.2131531454
Niger,TILLABERY,1990,355.7185734728
Niger,TILLABERY,1991,411.6530851766
Niger,TILLABERY,1992,387.1421424308
Niger,TILLABERY,1993,379.5715342711
Niger,TILLABERY,1994,498.0607266859
Niger,TILLABERY,1995,445.0558231788
Niger,TILLABERY,1996,487.9447338383
Niger,TILLABERY,1997,350.2448134583
Niger,TILLABERY,1998,619.7546363869
Niger,TILLABERY,1999,458.5704310712
Niger,TILLABERY,2000,404.620233479
Niger,TILLABERY,2001,383.119684899
Niger,TILLABERY,2002,384.8090710289
Niger,TILLABERY,2003,509.9204673831
Niger,TILLABERY,2004,319.2588261169
Niger,TILLABERY,2005,537.3236950828
Niger,TILLABERY,2006,306.5933802657
Niger,TILLABERY,2007,482.3526694773
Niger,TILLABERY,2008,395.8474103105
Niger,TILLABERY,2009,364.8808335657
Niger,TILLABERY,2010,473.5159861227
Niger,TILLABERY,2011,329.9015664227
Niger,TILLABERY,2012,641.4052181481
Niger,TILLABERY,2013,531.6893001447
Niger,TILLABERY,2014,448.3542036306
Niger,TILLABERY,2015,512.8409338637
Niger,TILLABERY,2016,641.7258141503
Niger,TILLABERY,2017,509.4246458307
Niger,TILLABERY,2018,513.4416597097
Niger,TILLABERY,2019,429.315569739
Niger,TILLABERY,2020,645.189780994
Niger,TILLABERY,2021,377.6076449169
Niger,TILLABERY,2022,0.062056343
