Country,Station,Year,sum_Precipitation
Niger,ZINDER,1980,608.142267134
Niger,ZINDER,1981,430.2660931194
Niger,ZINDER,1982,435.4278400739
Niger,ZINDER,1983,373.7107955561
Niger,ZINDER,1984,300.767633871
Niger,ZINDER,1985,342.6015606232
Niger,ZINDER,1986,460.8076194607
Niger,ZINDER,1987,289.4843828801
Niger,ZINDER,1988,498.3975908418
Niger,ZINDER,1989,341.5037838601
Niger,ZINDER,1990,332.1397708804
Niger,ZINDER,1991,315.5932969345
Niger,ZINDER,1992,390.5327991421
Niger,ZINDER,1993,284.0158764893
Niger,ZINDER,1994,470.2792740473
Niger,ZINDER,1995,351.8506773252
Niger,ZINDER,1996,316.0110436104
Niger,ZINDER,1997,234.6494463408
Niger,ZINDER,1998,489.6679209445
Niger,ZINDER,1999,413.8504337604
Niger,ZINDER,2000,427.4537492096
Niger,ZINDER,2001,433.4229091461
Niger,ZINDER,2002,317.7330669933
Niger,ZINDER,2003,487.576445967
Niger,ZINDER,2004,317.3482254867
Niger,ZINDER,2005,515.8337736253
Niger,ZINDER,2006,416.3449278578
Niger,ZINDER,2007,411.059006624
Niger,ZINDER,2008,410.41761694
Niger,ZINDER,2009,354.522540838
Niger,ZINDER,2010,500.611234759
Niger,ZINDER,2011,404.2140850494
Niger,ZINDER,2012,615.8307501597
Niger,ZINDER,2013,444.0202123854
Niger,ZINDER,2014,399.0161954035
Niger,ZINDER,2015,421.354739181
Niger,ZINDER,2016,327.6239983456
Niger,ZINDER,2017,494.0260521923
Niger,ZINDER,2018,598.0050083663
Niger,ZINDER,2019,562.029067225
Niger,ZINDER,2020,574.4298970292
Niger,ZINDER,2021,550.2314063668
Niger,ZINDER,2022,7.27185231
