Id,Station,longitude,latitude,Country
60419,CONSTANTINE,6.61666,36.28333,Algeria
60421,OUM-EL-BOUAGHI,7.11666,35.86666,Algeria
60423,SOUK-AHRAS,7.96666,36.28333,Algeria
60425,CHLEF,1.33333,36.21666,Algeria
60430,MILIANA,2.23333,36.3,Algeria
60437,MEDEA,2.73333,36.28333,Algeria
60444,BORDJ-BOU-ARRERIDJ,4.76666,36.06666,Algeria
60445,SETIF,5.25,36.18333,Algeria
60452,ARZEW,-0.26666,35.81666,Algeria
60457,MOSTAGANEM,0.11666,35.88333,Algeria
60461,ORAN-PORT,-0.65,35.7,Algeria
60467,M-SILA,4.5,35.66666,Algeria
60468,BATNA,6.31666,35.75,Algeria
60471,BARIKA,5.33333,35.33333,Algeria
60475,TEBESSA,8.11666,35.41666,Algeria
60476,KHENCHELLA,7.08333,35.46666,Algeria
60481,ORAN-TAFARAOUI,-0.51666,35.48333,Algeria
60490,ORAN-SENIA,-0.6,35.63333,Algeria
60506,MASCARA-MATEMORE,0.3,35.6,Algeria
60507,MASCARA-GHRISS,0.15,35.21666,Algeria
60511,TIARET,1.46666,35.35,Algeria
60514,KSAR-CHELLALA,2.31666,35.16666,Algeria
60515,BOU-SAADA,4.2,35.33333,Algeria
60517,GHAZAOUET,-1.86666,35.1,Algeria
60518,BENI-SAF,-1.35,35.3,Algeria
60520,SIDI-BEL-ABBES,-0.61666,35.2,Algeria
60522,MAGHNIA,-1.78333,34.81666,Algeria
60525,BISKRA,5.73333,34.8,Algeria
60531,TLEMCEN-ZENATA,-1.46666,35.01666,Algeria
60535,DJELFA,3.38333,34.33333,Algeria
60536,SAIDA,0.15,34.86666,Algeria
60611,IN-AMENAS,9.63333,28.05,Algeria
60607,TIMIMOUN,0.28333,29.25,Algeria
60603,RHOURD-NOUSS,6.7,29.71666,Algeria
60602,BENI-ABBES,-2.16666,30.13333,Algeria
60590,EL-GOLEA,2.86666,30.56666,Algeria
60581,HASSI-MESSAOUD,6.15,31.66666,Algeria
60580,OUARGLA,5.4,31.93333,Algeria
60571,BECHAR,-2.25,31.5,Algeria
60566,GHARDAIA,3.8,32.4,Algeria
60563,HASSIR_MEL,3.28333,32.93333,Algeria
60560,AIN-SEFRA,-0.6,32.76666,Algeria
60670,DJANET,9.46666,24.26666,Algeria
60690,IN-GUEZZAM,5.76666,19.56666,Algeria
60686,BORDJ-BADJ-MOKHTAR,0.95,21.33333,Algeria
60656,TINDOUF,-8.16666,27.7,Algeria
60640,ILLIZI,8.41666,26.5,Algeria
60630,IN-SALAH,2.5,27.23333,Algeria
